time,code,class
692.173,stimulus_introduction,1
693.472,neutral,1
697.311,positive_investigation,1
718.296,positive_side_by_side_contact,1
726.24,positive_investigation,1
789.836,positive_side_by_side_contact,1
795.47,positive_investigation,1
806.219,allogrooming,1
824.138,positive_side_by_side_contact,1
836.941,positive_investigation,1
847.424,positive_side_by_side_contact,1
855.103,positive_investigation,1
921.166,allogrooming,1
925.004,neutral,1
956.536,positive_investigation,1
967.545,positive_side_by_side_contact,1
969.081,positive_investigation,1
971.621,positive_side_by_side_contact,1
974.693,positive_investigation,1
980.857,neutral,1
1019.495,positive_investigation,1
1027.94,positive_side_by_side_contact,1
1044.089,positive_investigation,1
1052.266,positive_side_by_side_contact,1
1060.971,positive_investigation,1
1082.061,biting,1
1087.693,biting,1
1089.996,biting,1
1098.444,aggressive_investigation,1
1115.595,neutral,1
1127.077,positive_investigation,1
1141.687,neutral,1
1174.956,positive_investigation,1
1199.545,neutral,1
1247.397,positive_investigation,1
1257.635,neutral,1
1268.148,positive_investigation,1
1276.325,neutral,1
1326.507,positive_investigation,1
1354.125,neutral,1
1364.61,positive_investigation,1
1395.905,neutral,1
1410.476,END,0
