time,code,class
767.382,stimulus_introduction,1
768.414,neutral,1
772.716,positive_investigation,1
780.152,positive_side_by_side_contact,1
784.496,positive_investigation,1
791.402,neutral,1
794.472,positive_investigation,1
805.989,neutral,1
817.529,positive_investigation,1
821.866,neutral,1
832.848,positive_investigation,1
834.645,neutral,1
869.983,positive_investigation,1
890.468,neutral,1
907.154,positive_investigation,1
910.222,neutral,1
920.968,positive_investigation,1
923.771,neutral,1
938.815,being_chased,1
945.485,neutral,1
996.907,positive_investigation,1
1000.484,neutral,1
1006.386,being_chased,1
1011.256,neutral,1
1057.902,being_chased,1
1060.203,neutral,1
1146.019,positive_investigation,1
1153.43,neutral,1
1157.008,positive_investigation,1
1163.939,positive_side_by_side_contact,1
1172.384,neutral,1
1176.483,positive_investigation,1
1192.337,neutral,1
1199.778,positive_side_by_side_contact,1
1207.715,neutral,1
1237.646,positive_investigation,1
1250.957,neutral,1
1483.455,END,0
