time,code,class
570.504,stimulus_introduction,1
571.802,neutral,1
577.414,positive_investigation,1
593.293,neutral,1
594.061,positive_investigation,1
596.87,neutral,1
601.867,positive_investigation,1
612.11,neutral,1
613.645,positive_investigation,1
631.063,positive_side_by_side_contact,1
632.598,positive_investigation,1
682.789,allogrooming,1
691.759,positive_investigation,1
695.332,positive_side_by_side_contact,1
704.57,huddling,1
707.642,positive_investigation,1
716.851,positive_side_by_side_contact,1
719.153,allogrooming,1
729.131,positive_side_by_side_contact,1
731.433,positive_investigation,1
734.769,positive_side_by_side_contact,1
745.013,huddling,1
749.881,positive_side_by_side_contact,1
768.037,allogrooming,1
775.977,positive_side_by_side_contact,1
777.012,neutral,1
778.279,positive_investigation,1
785.72,positive_side_by_side_contact,1
787.255,neutral,1
818.254,positive_investigation,1
827.897,positive_side_by_side_contact,1
831.737,neutral,1
833.274,positive_investigation,1
849.917,allogrooming,1
852.487,positive_side_by_side_contact,1
858.362,positive_investigation,1
903.437,positive_side_by_side_contact,1
909.05,huddling,1
911.375,positive_side_by_side_contact,1
916.986,huddling,1
918.521,positive_investigation,1
933.369,neutral,1
953.988,positive_investigation,1
957.561,neutral,1
965.263,positive_investigation,1
971.406,positive_side_by_side_contact,1
973.707,neutral,1
1020.16,positive_investigation,1
1028.335,huddling,1
1095.804,positive_investigation,1
1114.988,allogrooming,1
1119.094,positive_investigation,1
1122.93,positive_side_by_side_contact,1
1129.07,huddling,1
1277.177,END,0
