time,code,class
563.27,stimulus_introduction,1
566.363,neutral,1
567.368,positive_investigation,1
568.401,neutral,1
573.007,positive_investigation,1
608.646,allogrooming,1
613.274,positive_investigation,1
623.492,allogrooming,1
625.03,positive_investigation,1
680.218,neutral,1
682.544,positive_investigation,1
694.828,allogrooming,1
697.392,positive_investigation,1
711.978,allogrooming,1
721.454,positive_investigation,1
727.068,positive_side_by_side_contact,1
728.861,positive_investigation,1
734.501,allogrooming,1
743.209,positive_investigation,1
752.719,allogrooming,1
758.618,positive_investigation,1
761.69,neutral,1
763.731,positive_side_by_side_contact,1
765.265,positive_investigation,1
782.916,neutral,1
787.788,positive_investigation,1
800.069,allogrooming,1
814.917,positive_side_by_side_contact,1
818.758,allogrooming,1
824.154,positive_side_by_side_contact,1
828.494,neutral,1
842.314,positive_investigation,1
846.685,positive_side_by_side_contact,1
847.689,positive_investigation,1
853.065,neutral,1
854.092,positive_investigation,1
856.661,positive_side_by_side_contact,1
859.997,neutral,1
861.767,positive_investigation,1
864.337,positive_side_by_side_contact,1
865.609,neutral,1
867.673,positive_investigation,1
869.469,positive_side_by_side_contact,1
872.278,positive_investigation,1
892.497,neutral,1
893.767,positive_investigation,1
895.066,positive_side_by_side_contact,1
895.835,positive_investigation,1
903.241,allogrooming,1
922.696,positive_side_by_side_contact,1
924.233,positive_investigation,1
928.861,neutral,1
933.705,positive_investigation,1
934.472,allogrooming,1
951.697,positive_investigation,1
955.538,neutral,1
960.142,positive_side_by_side_contact,1
968.849,allogrooming,1
974.723,positive_side_by_side_contact,1
979.089,positive_investigation,1
991.64,neutral,1
994.209,positive_side_by_side_contact,1
996.245,positive_investigation,1
998.547,allogrooming,1
1026.559,positive_side_by_side_contact,1
1028.628,neutral,1
1081.088,positive_investigation,1
1091.327,positive_side_by_side_contact,1
1093.893,neutral,1
1096.195,positive_side_by_side_contact,1
1097.493,positive_investigation,1
1098.497,positive_side_by_side_contact,1
1103.103,neutral,1
1107.474,positive_side_by_side_contact,1
1108.741,positive_investigation,1
1113.613,neutral,1
1118.484,positive_investigation,1
1126.4,neutral,1
1132.798,positive_investigation,1
1138.175,allogrooming,1
1140.5,neutral,1
1142.036,positive_side_by_side_contact,1
1146.879,positive_investigation,1
1155.856,rearing,1
1158.657,positive_investigation,1
1164.8,being_chased,1
1175.04,neutral,1
1178.378,aggressive_investigation,1
1187.586,rearing,1
1192.191,aggressive_investigation,1
1197.329,rearing,1
1199.365,pinning,1
1202.435,aggressive_investigation,1
1217.284,rearing,1
1222.421,aggressive_investigation,1
1224.96,rearing,1
1231.63,positive_side_by_side_contact,1
1233.429,rearing,1
1238.036,aggressive_investigation,1
1246.478,neutral,1
1277.184,END,0
