time,code,class
624.859,stimulus_introduction,1
625.625,positive_investigation,1
659.397,neutral,1
661.462,positive_investigation,1
686.153,neutral,1
691.291,positive_investigation,1
707.674,neutral,1
716.378,positive_investigation,1
719.186,neutral,1
723.022,positive_investigation,1
736.838,neutral,1
740.94,positive_investigation,1
770.137,neutral,1
772.438,positive_investigation,1
773.973,neutral,1
777.544,positive_investigation,1
781.914,neutral,1
785.752,positive_investigation,1
789.59,neutral,1
791.624,positive_investigation,1
793.159,neutral,1
794.694,positive_investigation,1
799.301,neutral,1
806.575,positive_investigation,1
823.49,allogrooming,1
826.293,positive_investigation,1
827.328,neutral,1
829.862,positive_investigation,1
869.275,neutral,1
888.752,positive_investigation,1
891.557,neutral,1
924.591,positive_investigation,1
926.364,neutral,1
933.8,positive_investigation,1
937.636,positive_side_by_side_contact,1
939.438,neutral,1
948.148,positive_investigation,1
949.682,neutral,1
978.112,aggressive_investigation,1
981.949,neutral,1
1008.308,positive_investigation,1
1016.249,neutral,1
1024.454,positive_investigation,1
1026.758,neutral,1
1033.667,positive_investigation,1
1035.702,neutral,1
1043.909,positive_investigation,1
1050.817,neutral,1
1074.373,aggressive_investigation,1
1076.677,neutral,1
1109.442,positive_investigation,1
1110.21,neutral,1
1121.721,positive_side_by_side_contact,1
1123.76,neutral,1
1128.127,positive_side_by_side_contact,1
1131.699,neutral,1
1192.126,positive_investigation,1
1199.033,positive_side_by_side_contact,1
1203.636,neutral,1
1206.707,positive_investigation,1
1218.484,neutral,1
1220.02,positive_investigation,1
1222.588,neutral,1
1234.1,positive_investigation,1
1236.165,neutral,1
1253.82,positive_investigation,1
1259.397,rearing,1
1262.228,neutral,1
1281.25,positive_side_by_side_contact,1
1284.344,neutral,1
1304.569,positive_investigation,1
1306.104,positive_side_by_side_contact,1
1308.907,positive_investigation,1
1318.383,neutral,1
1322.987,positive_side_by_side_contact,1
1327.592,neutral,1
1332.367,END,0
