time,code,class
611.979,stimulus_introduction,1
613.513,positive_investigation,1
616.346,neutral,1
628.124,positive_investigation,1
632.73,neutral,1
645.018,positive_investigation,1
686.252,positive_side_by_side_contact,1
690.089,positive_investigation,1
695.194,allogrooming,1
696.229,positive_side_by_side_contact,1
700.334,positive_investigation,1
714.915,positive_side_by_side_contact,1
717.985,positive_investigation,1
721.585,neutral,1
724.124,positive_investigation,1
726.692,positive_side_by_side_contact,1
740.506,positive_investigation,1
744.111,neutral,1
755.887,positive_investigation,1
761.761,positive_side_by_side_contact,1
764.063,neutral,1
767.664,positive_investigation,1
772.741,positive_side_by_side_contact,1
791.692,neutral,1
794.767,positive_investigation,1
807.308,neutral,1
809.371,positive_investigation,1
812.946,neutral,1
813.978,positive_investigation,1
821.126,positive_side_by_side_contact,1
823.43,positive_investigation,1
831.898,positive_side_by_side_contact,1
834.968,huddling,1
866.971,positive_investigation,1
868.768,allogrooming,1
871.6,positive_investigation,1
879.78,neutral,1
880.816,positive_investigation,1
885.185,allogrooming,1
890.053,positive_investigation,1
897.498,positive_side_by_side_contact,1
904.667,allogrooming,1
910.278,positive_side_by_side_contact,1
912.846,huddling,1
1154.186,positive_investigation,1
1160.33,positive_side_by_side_contact,1
1161.36,neutral,1
1165.464,positive_investigation,1
1173.14,huddling,1
1322.294,END,0
