time,code,class
569.469,stimulus_introduction,1
572.539,neutral,1
576.113,positive_investigation,1
646.619,positive_side_by_side_contact,1
651.246,positive_investigation,1
660.393,allogrooming,1
662.191,positive_investigation,1
715.949,neutral,1
717.483,positive_investigation,1
730.032,allogrooming,1
738.238,positive_investigation,1
759.246,allogrooming,1
760.793,positive_investigation,1
773.073,allogrooming,1
774.341,positive_investigation,1
793.738,positive_side_by_side_contact,1
796.563,positive_investigation,1
802.702,positive_side_by_side_contact,1
805.51,neutral,1
807.045,positive_investigation,1
812.179,neutral,1
833.166,positive_investigation,1
836.502,allogrooming,1
846.98,positive_investigation,1
856.39,positive_side_by_side_contact,1
859.995,positive_investigation,1
871.772,rearing,1
874.074,positive_investigation,1
887.421,being_chased,1
889.724,positive_investigation,1
890.993,neutral,1
896.897,positive_investigation,1
914.074,positive_side_by_side_contact,1
923.023,positive_investigation,1
938.137,biting,1
939.142,positive_investigation,1
953.221,being_chased,1
957.062,positive_investigation,1
963.226,neutral,1
981.914,positive_investigation,1
991.425,biting,1
992.693,rearing,1
994.494,aggressive_investigation,1
996.277,neutral,1
1003.736,positive_investigation,1
1008.586,positive_side_by_side_contact,1
1013.48,neutral,1
1021.688,positive_investigation,1
1035.775,neutral,1
1042.709,positive_investigation,1
1071.637,biting,1
1076.243,neutral,1
1080.08,biting,1
1081.113,being_chased,1
1081.881,pinning,1
1083.149,neutral,1
1091.6,aggressive_investigation,1
1100.57,neutral,1
1148.447,aggressive_investigation,1
1149.982,neutral,1
1152.047,aggressive_investigation,1
1162.027,neutral,1
1174.642,positive_investigation,1
1183.383,neutral,1
1184.655,positive_investigation,1
1187.483,neutral,1
1205.408,positive_investigation,1
1223.823,neutral,1
1258.824,END,0
