time,code,class
595.428,stimulus_introduction,1
599.002,neutral,1
633.327,being_chased,1
634.334,neutral,1
666.6,positive_investigation,1
669.67,neutral,1
675.611,positive_investigation,1
683.549,biting,1
684.317,positive_investigation,1
685.616,neutral,1
692.525,positive_investigation,1
696.864,neutral,1
701.734,positive_investigation,1
707.875,neutral,1
708.909,positive_investigation,1
712.239,neutral,1
726.223,positive_investigation,1
740.807,neutral,1
747.311,positive_investigation,1
751.748,neutral,1
753.118,positive_investigation,1
754.248,neutral,1
762.559,positive_investigation,1
766.163,neutral,1
768.665,positive_investigation,1
772.269,neutral,1
773.66,positive_investigation,1
778.077,neutral,1
779.476,positive_investigation,1
783.645,neutral,1
787.25,positive_investigation,1
788.619,neutral,1
791.122,positive_investigation,1
808.604,neutral,1
812.476,positive_investigation,1
815.246,neutral,1
819.416,positive_side_by_side_contact,1
821.084,neutral,1
822.453,positive_side_by_side_contact,1
824.955,positive_investigation,1
829.661,neutral,1
833.564,positive_investigation,1
834.666,neutral,1
849.279,positive_investigation,1
854.279,neutral,1
868.131,positive_investigation,1
873.437,allogrooming,1
876.207,positive_investigation,1
878.142,neutral,1
880.912,positive_investigation,1
890.055,neutral,1
891.455,positive_side_by_side_contact,1
897.56,positive_investigation,1
900.599,neutral,1
902.265,positive_investigation,1
905.329,positive_side_by_side_contact,1
906.995,neutral,1
926.685,positive_side_by_side_contact,1
932.765,positive_investigation,1
938.603,positive_side_by_side_contact,1
943.306,positive_investigation,1
950.812,positive_side_by_side_contact,1
955.786,neutral,1
958.856,positive_investigation,1
961.626,neutral,1
963.561,positive_investigation,1
965.229,neutral,1
967.431,positive_investigation,1
969.935,neutral,1
979.376,positive_investigation,1
984.647,positive_side_by_side_contact,1
985.75,neutral,1
987.684,positive_investigation,1
990.188,positive_side_by_side_contact,1
1000.997,positive_investigation,1
1002.933,allogrooming,1
1008.206,neutral,1
1022.086,positive_investigation,1
1028.458,allogrooming,1
1031.228,positive_investigation,1
1037.064,positive_side_by_side_contact,1
1045.643,neutral,1
1062.325,positive_investigation,1
1064.264,positive_side_by_side_contact,1
1070.664,positive_investigation,1
1073.437,neutral,1
1083.976,positive_investigation,1
1090.353,positive_side_by_side_contact,1
1095.624,neutral,1
1098.93,positive_side_by_side_contact,1
1101.725,huddling,1
1297.795,END,0
