time,code,class
762.159,stimulus_introduction,1
763.695,neutral,1
765.731,positive_investigation,1
773.167,neutral,1
780.848,positive_investigation,1
814.079,positive_side_by_side_contact,1
816.016,positive_investigation,1
818.784,positive_side_by_side_contact,1
820.72,positive_investigation,1
835.436,allogrooming,1
841.264,positive_investigation,1
850.684,positive_side_by_side_contact,1
851.784,positive_investigation,1
862.598,allogrooming,1
865.098,positive_investigation,1
868.702,allogrooming,1
870.936,positive_side_by_side_contact,1
874.649,positive_investigation,1
882.417,positive_side_by_side_contact,1
884.917,allogrooming,1
887.687,positive_investigation,1
890.459,allogrooming,1
900.464,neutral,1
902.401,positive_investigation,1
915.908,neutral,1
918.117,positive_investigation,1
919.22,neutral,1
920.346,positive_investigation,1
925.616,allogrooming,1
927.259,positive_investigation,1
937.804,positive_side_by_side_contact,1
939.74,allogrooming,1
941.975,positive_investigation,1
947.246,neutral,1
948.913,positive_investigation,1
952.22,neutral,1
953.621,positive_investigation,1
954.72,neutral,1
961.66,positive_investigation,1
968.869,neutral,1
969.702,positive_investigation,1
973.038,neutral,1
978.844,positive_investigation,1
999.664,positive_investigation,1
1002.16,allogrooming,1
1003.269,positive_investigation,1
1013.08,positive_side_by_side_contact,1
1016.116,positive_investigation,1
1018.619,positive_side_by_side_contact,1
1034.992,neutral,1
1046.913,positive_investigation,1
1054.683,neutral,1
1065.221,positive_investigation,1
1073.806,positive_side_by_side_contact,1
1076.576,neutral,1
1082.414,positive_investigation,1
1084.617,positive_side_by_side_contact,1
1092.391,allogrooming,1
1093.786,positive_side_by_side_contact,1
1111.771,huddling,1
1128.627,positive_side_by_side_contact,1
1150.551,positive_investigation,1
1152.753,positive_side_by_side_contact,1
1154.715,huddling,1
1541.038,END,0
