time,code,class
781.181,stimulus_introduction,1
782.615,neutral,1
783.916,positive_investigation,1
803.41,positive_side_by_side_contact,1
807.009,positive_investigation,1
821.324,allogrooming,1
822.859,positive_investigation,1
829.4,allogrooming,1
830.676,neutral,1
836.306,positive_investigation,1
846.588,neutral,1
847.357,positive_investigation,1
850.186,neutral,1
860.095,positive_investigation,1
866.301,allogrooming,1
869.373,positive_side_by_side_contact,1
870.139,neutral,1
877.614,allogrooming,1
879.414,positive_side_by_side_contact,1
880.424,neutral,1
890.793,positive_investigation,1
899.24,allogrooming,1
902.572,positive_side_by_side_contact,1
903.867,positive_investigation,1
907.943,neutral,1
918.021,positive_investigation,1
980.682,neutral,1
981.713,positive_investigation,1
988.857,neutral,1
991.159,positive_investigation,1
996.027,neutral,1
997.563,positive_investigation,1
999.334,neutral,1
1003.705,positive_investigation,1
1027.497,positive_side_by_side_contact,1
1033.638,neutral,1
1038.774,positive_investigation,1
1046.95,neutral,1
1070.268,positive_investigation,1
1077.947,allogrooming,1
1080.249,positive_investigation,1
1081.784,neutral,1
1086.389,positive_investigation,1
1091.76,neutral,1
1195.064,positive_investigation,1
1203.771,neutral,1
1208.109,positive_investigation,1
1209.912,neutral,1
1313.383,positive_investigation,1
1323.125,neutral,1
1334.836,positive_investigation,1
1368.87,positive_side_by_side_contact,1
1372.71,positive_investigation,1
1376.044,positive_side_by_side_contact,1
1386.023,positive_investigation,1
1391.926,neutral,1
1394.23,positive_investigation,1
1397.563,neutral,1
1448.721,positive_investigation,1
1453.855,positive_side_by_side_contact,1
1478.48,neutral,1
1482.583,positive_investigation,1
1486.181,allogrooming,1
1491.026,positive_side_by_side_contact,1
1493.595,allogrooming,1
1512.546,positive_investigation,1
1515.878,positive_side_by_side_contact,1
1523.557,neutral,1
1526.361,positive_investigation,1
1531.494,positive_side_by_side_contact,1
1533.268,huddling,1
1575.111,END,0
