time,code,class
597.297,stimulus_introduction,1
599.1,positive_investigation,1
603.439,neutral,1
606.273,positive_investigation,1
646.98,neutral,1
648.752,positive_investigation,1
667.2,neutral,1
670.003,positive_investigation,1
675.142,neutral,1
680.514,positive_investigation,1
682.289,allogrooming,1
683.317,positive_investigation,1
699.7,aggressive_investigation,1
702.27,positive_investigation,1
703.804,neutral,1
707.14,allogrooming,1
718.021,positive_side_by_side_contact,1
719.819,positive_investigation,1
725.959,allogrooming,1
733.638,positive_investigation,1
743.377,neutral,1
744.41,positive_investigation,1
747.214,allogrooming,1
749.015,neutral,1
754.12,positive_side_by_side_contact,1
756.689,neutral,1
761.797,positive_investigation,1
766.426,neutral,1
825.859,positive_investigation,1
827.895,allogrooming,1
830.196,positive_investigation,1
836.604,positive_side_by_side_contact,1
842.242,positive_investigation,1
856.561,positive_side_by_side_contact,1
858.359,neutral,1
862.195,positive_investigation,1
873.206,allogrooming,1
878.846,positive_investigation,1
895.228,allogrooming,1
900.1,positive_side_by_side_contact,1
905.206,allogrooming,1
941.041,positive_side_by_side_contact,1
943.61,positive_investigation,1
948.481,neutral,1
950.016,positive_investigation,1
956.157,neutral,1
971.44,positive_investigation,1
979.313,biting,1
982.149,allogrooming,1
985.456,neutral,1
993.393,aggressive_investigation,1
1007.174,neutral,1
1022.554,aggressive_investigation,1
1030.998,neutral,1
1032.795,aggressive_investigation,1
1041.742,allogrooming,1
1050.449,neutral,1
1054.789,positive_investigation,1
1060.694,allogrooming,1
1062.995,biting,1
1064.263,allogrooming,1
1065.799,neutral,1
1068.102,biting,1
1070.169,aggressive_investigation,1
1072.472,neutral,1
1076.57,allogrooming,1
1084.485,being_chased,1
1088.088,neutral,1
1103.436,aggressive_investigation,1
1113.947,neutral,1
1116.422,aggressive_investigation,1
1122.588,neutral,1
1148.18,positive_investigation,1
1154.32,being_chased,1
1155.855,neutral,1
1187.086,aggressive_investigation,1
1191.19,allogrooming,1
1196.827,neutral,1
1208.603,aggressive_investigation,1
1212.679,neutral,1
1222.154,aggressive_investigation,1
1223.19,neutral,1
1241.774,aggressive_investigation,1
1250.717,biting,1
1252.252,neutral,1
1254.32,being_chased,1
1257.123,biting,1
1260.459,neutral,1
1266.864,aggressive_investigation,1
1271.203,neutral,1
1320.141,END,0
