time,code,class
604.506,stimulus_introduction,1
606.81,neutral,1
617.998,positive_investigation,1
622.097,allogrooming,1
623.87,positive_investigation,1
637.217,neutral,1
639.519,positive_investigation,1
642.591,neutral,1
643.857,positive_investigation,1
649.232,neutral,1
655.737,positive_investigation,1
666.479,neutral,1
674.155,positive_investigation,1
683.557,neutral,1
687.134,positive_investigation,1
702.383,allogrooming,1
705.453,positive_investigation,1
707.253,allogrooming,1
714.928,neutral,1
716.966,positive_investigation,1
720.038,neutral,1
722.342,positive_investigation,1
741.05,neutral,1
747.663,positive_investigation,1
753.828,neutral,1
776.421,positive_investigation,1
791.504,positive_side_by_side_contact,1
795.876,neutral,1
796.642,positive_investigation,1
806.619,allogrooming,1
811.991,positive_side_by_side_contact,1
816.862,positive_investigation,1
818.397,neutral,1
819.934,positive_investigation,1
823.003,neutral,1
836.687,positive_investigation,1
843.089,positive_side_by_side_contact,1
845.156,neutral,1
847.192,allogrooming,1
850.262,positive_side_by_side_contact,1
854.102,positive_investigation,1
870.244,neutral,1
877.393,positive_investigation,1
888.401,neutral,1
900.179,positive_investigation,1
902.749,positive_side_by_side_contact,1
905.819,allogrooming,1
909.656,positive_side_by_side_contact,1
912.224,neutral,1
925.498,positive_investigation,1
943.756,neutral,1
946.56,positive_investigation,1
960.379,neutral,1
966.308,positive_investigation,1
967.709,neutral,1
973.393,positive_investigation,1
983.632,positive_side_by_side_contact,1
991.07,allogrooming,1
1003.615,positive_side_by_side_contact,1
1007.717,neutral,1
1018.097,positive_investigation,1
1023.205,neutral,1
1025.508,positive_investigation,1
1029.903,neutral,1
1059.205,positive_investigation,1
1067.448,positive_side_by_side_contact,1
1068.714,neutral,1
1092.005,positive_investigation,1
1098.644,allogrooming,1
1138.853,positive_side_by_side_contact,1
1141.925,allogrooming,1
1146.559,positive_side_by_side_contact,1
1162.942,positive_investigation,1
1170.382,allogrooming,1
1178.057,positive_side_by_side_contact,1
1185.497,neutral,1
1193.707,positive_investigation,1
1195.002,allogrooming,1
1199.812,positive_investigation,1
1202.618,allogrooming,1
1204.922,being_chased,1
1214.041,neutral,1
1216.608,being_chased,1
1230.956,neutral,1
1306.456,positive_investigation,1
1311.302,neutral,1
1313.279,END,0
