time,code,class
771.671,stimulus_introduction,1
773.974,neutral,1
796.357,positive_investigation,1
811.845,positive_side_by_side_contact,1
813.381,positive_investigation,1
815.181,allogrooming,1
819.018,neutral,1
820.554,positive_investigation,1
829.53,neutral,1
835.162,positive_investigation,1
864.496,positive_side_by_side_contact,1
867.567,positive_investigation,1
887.258,positive_side_by_side_contact,1
892.892,positive_investigation,1
901.601,neutral,1
903.135,positive_investigation,1
924.491,neutral,1
943.642,positive_investigation,1
961.797,positive_side_by_side_contact,1
1009.942,positive_investigation,1
1033.232,neutral,1
1036.302,positive_investigation,1
1042.202,positive_side_by_side_contact,1
1045.512,neutral,1
1049.283,positive_side_by_side_contact,1
1108.375,neutral,1
1110.677,positive_investigation,1
1150.316,neutral,1
1201.563,positive_investigation,1
1236.402,neutral,1
1260.421,positive_investigation,1
1283.583,neutral,1
1286.149,positive_investigation,1
1311.478,positive_side_by_side_contact,1
1315.314,neutral,1
1328.731,positive_investigation,1
1367.967,positive_side_by_side_contact,1
1372.07,positive_investigation,1
1382.917,positive_side_by_side_contact,1
1393.426,neutral,1
1394.961,positive_investigation,1
1404.171,neutral,1
1405.704,positive_investigation,1
1408.539,biting,1
1410.309,positive_investigation,1
1415.686,neutral,1
1425.691,positive_investigation,1
1429.262,biting,1
1430.797,neutral,1
1432.859,aggressive_investigation,1
1434.133,neutral,1
1438.738,positive_investigation,1
1440.006,neutral,1
1450.516,positive_investigation,1
1451.547,neutral,1
1453.586,positive_investigation,1
1458.191,neutral,1
1540.144,positive_investigation,1
1547.845,neutral,1
1557.056,positive_investigation,1
1560.627,neutral,1
1599.164,END,0
