time,code,class
801.905,stimulus_introduction,1
802.671,positive_investigation,1
804.471,neutral,1
805.506,positive_investigation,1
837.338,neutral,1
842.475,positive_investigation,1
847.079,positive_side_by_side_contact,1
852.719,positive_investigation,1
856.026,positive_side_by_side_contact,1
860.655,positive_investigation,1
869.338,neutral,1
872.938,positive_investigation,1
882.148,neutral,1
883.95,positive_investigation,1
890.09,positive_side_by_side_contact,1
891.358,positive_investigation,1
893.659,neutral,1
897.499,positive_investigation,1
902.369,neutral,1
903.663,positive_investigation,1
912.645,neutral,1
913.947,positive_investigation,1
922.388,positive_side_by_side_contact,1
926.726,allogrooming,1
930.831,neutral,1
934.667,positive_investigation,1
936.469,neutral,1
942.608,positive_investigation,1
943.877,neutral,1
945.413,positive_investigation,1
966.594,neutral,1
967.627,positive_investigation,1
974.802,neutral,1
975.807,positive_investigation,1
977.343,neutral,1
986.816,positive_investigation,1
988.618,neutral,1
994.517,positive_investigation,1
996.821,neutral,1
1017.377,positive_investigation,1
1022.485,neutral,1
1023.517,positive_investigation,1
1029.923,neutral,1
1060.155,positive_investigation,1
1064.491,neutral,1
1067.06,positive_investigation,1
1068.862,neutral,1
1130.687,positive_investigation,1
1132.223,neutral,1
1206.399,positive_investigation,1
1218.819,positive_side_by_side_contact,1
1221.654,positive_investigation,1
1239.812,neutral,1
1241.874,positive_investigation,1
1252.355,neutral,1
1255.427,positive_investigation,1
1260.824,allogrooming,1
1262.095,positive_side_by_side_contact,1
1263.129,neutral,1
1264.131,positive_investigation,1
1266.435,neutral,1
1286.753,positive_investigation,1
1312.345,neutral,1
1313.113,positive_investigation,1
1323.624,neutral,1
1324.891,positive_investigation,1
1341.037,neutral,1
1345.88,positive_investigation,1
1349.216,neutral,1
1388.355,positive_investigation,1
1414.317,neutral,1
1575.576,END,0
