time,code,class
608.474,stimulus_introduction,1
609.243,neutral,1
611.049,positive_investigation,1
627.93,neutral,1
630.239,positive_investigation,1
647.915,neutral,1
649.449,positive_investigation,1
654.32,positive_side_by_side_contact,1
657.123,positive_investigation,1
660.96,neutral,1
665.833,positive_investigation,1
675.55,positive_side_by_side_contact,1
679.912,positive_investigation,1
686.819,neutral,1
691.163,positive_investigation,1
707.039,positive_side_by_side_contact,1
712.944,neutral,1
721.12,allogrooming,1
728.559,neutral,1
731.866,positive_investigation,1
740.573,allogrooming,1
743.143,neutral,1
760.56,positive_investigation,1
768.235,neutral,1
783.85,positive_investigation,1
791.792,allogrooming,1
800.733,positive_investigation,1
802.268,neutral,1
825.325,positive_investigation,1
862.762,neutral,1
869.167,positive_investigation,1
874.01,positive_side_by_side_contact,1
875.808,positive_investigation,1
877.61,neutral,1
878.879,positive_investigation,1
882.214,neutral,1
883.482,positive_investigation,1
891.424,neutral,1
902.702,positive_investigation,1
904.737,neutral,1
916.251,positive_investigation,1
927.199,neutral,1
942.75,positive_investigation,1
947.376,neutral,1
952.512,positive_side_by_side_contact,1
957.383,neutral,1
958.418,positive_investigation,1
961.219,neutral,1
964.556,positive_side_by_side_contact,1
967.894,neutral,1
982.74,positive_investigation,1
984.509,neutral,1
989.649,positive_investigation,1
995.788,neutral,1
997.055,positive_investigation,1
998.356,neutral,1
1008.638,positive_investigation,1
1018.878,allogrooming,1
1021.447,positive_investigation,1
1031.19,neutral,1
1034.493,positive_investigation,1
1042.7,neutral,1
1081.938,positive_investigation,1
1088.808,neutral,1
1092.884,positive_investigation,1
1104.424,positive_side_by_side_contact,1
1109.799,positive_investigation,1
1115.673,neutral,1
1141.499,positive_investigation,1
1145.599,allogrooming,1
1154.547,neutral,1
1156.082,positive_investigation,1
1159.918,neutral,1
1182.739,positive_investigation,1
1190.148,allogrooming,1
1195.521,positive_investigation,1
1210.635,neutral,1
1316.776,END,0
