time,code,class
788.288,stimulus_introduction,1
790.854,neutral,1
803.136,positive_investigation,1
809.276,neutral,1
810.545,positive_investigation,1
820.02,neutral,1
821.054,positive_investigation,1
833.333,neutral,1
1172.338,being_chased,1
1173.373,neutral,1
1176.709,being_chased,1
1178.245,neutral,1
1197.168,aggressive_investigation,1
1214.58,being_chased,1
1215.877,neutral,1
1223.792,aggressive_investigation,1
1253.252,neutral,1
1258.886,aggressive_investigation,1
1260.422,neutral,1
1265.265,positive_side_by_side_contact,1
1267.568,neutral,1
1282.181,positive_investigation,1
1306.203,neutral,1
1317.21,positive_investigation,1
1320.519,neutral,1
1328.994,aggressive_investigation,1
1337.703,positive_investigation,1
1347.179,neutral,1
1352.285,positive_investigation,1
1361.499,neutral,1
1367.399,positive_investigation,1
1372.005,neutral,1
1383.046,positive_investigation,1
1389.455,neutral,1
1396.863,positive_investigation,1
1400.197,neutral,1
1410.943,positive_investigation,1
1414.278,positive_side_by_side_contact,1
1416.815,neutral,1
1418.619,positive_investigation,1
1439.003,neutral,1
1440.273,positive_investigation,1
1449.482,neutral,1
1467.397,positive_investigation,1
1472.773,neutral,1
1474.041,positive_investigation,1
1476.375,neutral,1
1536.765,END,0
