time,code,class
784.15,stimulus_introduction,1
785.685,neutral,1
787.988,positive_investigation,1
793.359,positive_side_by_side_contact,1
803.338,positive_investigation,1
813.347,allogrooming,1
814.618,positive_investigation,1
827.164,neutral,1
842.01,positive_investigation,1
850.479,neutral,1
852.015,positive_side_by_side_contact,1
854.054,positive_investigation,1
855.322,positive_side_by_side_contact,1
860.193,positive_investigation,1
870.171,positive_side_by_side_contact,1
875.547,positive_investigation,1
877.61,positive_side_by_side_contact,1
879.645,neutral,1
902.77,positive_investigation,1
926.085,neutral,1
1026.63,positive_investigation,1
1030.998,neutral,1
1039.941,positive_investigation,1
1042.009,neutral,1
1045.077,positive_investigation,1
1049.682,neutral,1
1052.25,positive_investigation,1
1057.094,allogrooming,1
1063.259,neutral,1
1069.869,positive_investigation,1
1074.971,neutral,1
1078.545,positive_investigation,1
1096.83,neutral,1
1330.363,positive_investigation,1
1352.118,neutral,1
1355.455,positive_investigation,1
1368.768,positive_side_by_side_contact,1
1372.606,positive_investigation,1
1386.42,neutral,1
1387.718,positive_investigation,1
1390.256,neutral,1
1408.709,positive_investigation,1
1414.08,neutral,1
1441.975,positive_investigation,1
1449.413,neutral,1
1451.718,positive_side_by_side_contact,1
1453.753,positive_investigation,1
1459.654,neutral,1
1466.031,positive_investigation,1
1478.01,neutral,1
1503.402,positive_investigation,1
1509.542,neutral,1
1513.883,positive_investigation,1
1515.181,neutral,1
1516.715,positive_investigation,1
1521.821,neutral,1
1523.119,positive_investigation,1
1524.389,neutral,1
1526.897,positive_investigation,1
1529.462,neutral,1
1576.91,positive_investigation,1
1586.651,neutral,1
1599.66,END,0
