time,code,class
30.132,right_zone,1
45.246,lower_right_interaction,1
48.815,lower_left_interaction,1
50.618,upper_left_interaction,1
52.419,lower_left_interaction,1
54.192,lower_right_interaction,1
59.327,upper_right_interaction,1
60.861,lower_right_interaction,1
62.396,lower_left_interaction,1
65.733,lower_right_interaction,1
71.872,lower_left_interaction,1
72.373,lower_right_interaction,1
87.489,lower_left_interaction,1
89.79,upper_left_interaction,1
91.589,upper_right_interaction,1
92.593,lower_right_interaction,1
100.534,upper_right_interaction,1
103.365,lower_right_interaction,1
112.816,lower_left_interaction,1
114.882,lower_right_interaction,1
122.821,lower_left_interaction,1
124.357,upper_left_interaction,1
128.432,lower_left_interaction,1
131.505,lower_right_interaction,1
147.648,lower_left_interaction,1
149.445,left_zone,1
150.719,upper_left_interaction,1
152.254,upper_right_interaction,1
153.285,upper_left_interaction,1
158.128,lower_left_interaction,1
161.463,lower_right_interaction,1
162.758,lower_left_interaction,1
164.031,lower_right_interaction,1
172.207,lower_left_interaction,1
193.727,upper_left_interaction,1
194.995,lower_left_interaction,1
197.83,center,1
278.448,lower_left_interaction,1
279.215,upper_left_interaction,1
281.014,lower_left_interaction,1
531.566,upper_left_interaction,1
532.631,lower_left_interaction,1
534.034,left_zone,1
538.371,upper_left_interaction,1
539.808,upper_right_interaction,1
541.255,lower_right_interaction,1
542.319,upper_right_interaction,1
543.385,lower_right_interaction,1
557.292,lower_left_interaction,1
558.362,lower_right_interaction,1
575.875,lower_left_interaction,1
580.121,lower_right_interaction,1
592.658,lower_left_interaction,1
593.726,lower_right_interaction,1
595.897,lower_left_interaction,1
596.976,center,1
614.49,upper_left_interaction,1
636.671,upper_right_interaction,1
640.975,lower_right_interaction,1
646.714,lower_left_interaction,1
703.503,lower_right_interaction,1
749.081,lower_left_interaction,1
751.194,center,1
884.332,END,0
