time,code,class
27.29,right_zone,1
85.653,upper_right_interaction,1
88.218,upper_left_interaction,1
88.986,left_zone,1
92.826,upper_left_interaction,1
94.863,upper_right_interaction,1
95.896,right_zone,1
109.711,upper_right_interaction,1
110.981,right_zone,1
114.314,lower_right_interaction,1
115.61,lower_left_interaction,1
116.116,lower_right_interaction,1
121.755,lower_left_interaction,1
122.522,left_zone,1
123.29,lower_left_interaction,1
123.791,upper_left_interaction,1
124.558,lower_left_interaction,1
125.061,lower_right_interaction,1
126.362,right_zone,1
126.86,upper_right_interaction,1
127.127,upper_left_interaction,1
127.628,left_zone,1
128.134,lower_left_interaction,1
129.162,lower_right_interaction,1
130.198,right_zone,1
130.964,lower_right_interaction,1
139.141,lower_left_interaction,1
143.243,lower_right_interaction,1
147.848,right_zone,1
150.918,upper_right_interaction,1
152.986,upper_left_interaction,1
157.062,lower_left_interaction,1
161.162,lower_right_interaction,1
175.509,upper_right_interaction,1
180.379,upper_left_interaction,1
183.684,left_zone,1
184.454,lower_left_interaction,1
185.752,lower_right_interaction,1
192.154,upper_right_interaction,1
193.16,right_zone,1
193.927,upper_right_interaction,1
196.762,upper_left_interaction,1
198.534,center,1
312.979,upper_left_interaction,1
314.514,lower_left_interaction,1
315.546,upper_left_interaction,1
316.049,lower_left_interaction,1
317.083,lower_right_interaction,1
319.887,upper_right_interaction,1
321.157,lower_right_interaction,1
322.189,upper_right_interaction,1
323.723,upper_left_interaction,1
325.525,lower_left_interaction,1
326.554,upper_left_interaction,1
330.131,upper_right_interaction,1
331.163,right_zone,1
334.234,lower_right_interaction,1
335.001,lower_left_interaction,1
335.77,lower_right_interaction,1
347.281,lower_left_interaction,1
350.085,lower_right_interaction,1
352.652,lower_left_interaction,1
359.06,center,1
394.895,lower_right_interaction,1
396.165,upper_right_interaction,1
397.464,upper_left_interaction,1
398.469,lower_left_interaction,1
398.732,left_zone,1
402.33,lower_left_interaction,1
402.837,left_zone,1
408.709,upper_left_interaction,1
411.781,upper_right_interaction,1
412.812,right_zone,1
415.882,lower_right_interaction,1
416.39,lower_left_interaction,1
417.179,lower_right_interaction,1
420.755,lower_left_interaction,1
423.556,center,1
485.254,upper_left_interaction,1
486.022,lower_left_interaction,1
487.054,lower_right_interaction,1
511.378,upper_right_interaction,1
512.912,lower_right_interaction,1
515.717,upper_right_interaction,1
516.751,upper_left_interaction,1
520.854,lower_left_interaction,1
525.458,lower_right_interaction,1
532.101,center,1
569.135,upper_left_interaction,1
570.403,left_zone,1
573.211,lower_left_interaction,1
577.311,lower_right_interaction,1
580.313,lower_right_interaction,1
584.652,upper_right_interaction,1
585.926,lower_right_interaction,1
587.483,upper_right_interaction,1
587.988,upper_left_interaction,1
590.29,lower_left_interaction,1
591.322,lower_right_interaction,1
598.469,upper_right_interaction,1
599.767,right_zone,1
602.571,upper_right_interaction,1
603.604,lower_right_interaction,1
604.371,upper_right_interaction,1
606.17,upper_left_interaction,1
607.942,left_zone,1
612.312,lower_left_interaction,1
615.642,upper_left_interaction,1
619.22,lower_left_interaction,1
620.488,upper_left_interaction,1
627.398,lower_left_interaction,1
627.928,lower_right_interaction,1
637.402,center,1
651.482,lower_left_interaction,1
651.985,upper_left_interaction,1
654.788,upper_right_interaction,1
657.094,lower_right_interaction,1
664.265,lower_left_interaction,1
665.8,upper_left_interaction,1
671.439,upper_right_interaction,1
673.477,right_zone,1
677.339,lower_right_interaction,1
679.38,lower_left_interaction,1
680.648,upper_left_interaction,1
682.183,upper_right_interaction,1
682.95,right_zone,1
688.589,lower_right_interaction,1
689.094,right_zone,1
691.158,upper_right_interaction,1
693.194,upper_left_interaction,1
693.723,left_zone,1
694.995,upper_left_interaction,1
700.366,upper_right_interaction,1
707.274,center,1
874.971,upper_left_interaction,1
875.739,upper_right_interaction,1
876.507,lower_right_interaction,1
882.382,lower_left_interaction,1
885.19,upper_left_interaction,1
888.021,upper_right_interaction,1
898.766,lower_right_interaction,1
908.507,lower_left_interaction,1
911.311,center,1
922.822,upper_right_interaction,1
923.354,lower_right_interaction,1
924.49,END,0
