time,code,class
28.465,right_zone,1
31.031,lower_right_interaction,1
34.369,lower_left_interaction,1
35.904,lower_right_interaction,1
36.67,lower_left_interaction,1
37.171,lower_right_interaction,1
39.238,lower_left_interaction,1
39.74,lower_right_interaction,1
41.776,upper_right_interaction,1
42.544,lower_right_interaction,1
45.113,lower_left_interaction,1
46.647,lower_right_interaction,1
49.717,lower_left_interaction,1
50.484,upper_left_interaction,1
51.781,upper_right_interaction,1
52.786,right_zone,1
53.555,upper_right_interaction,1
53.822,lower_right_interaction,1
61.495,upper_right_interaction,1
62.769,upper_left_interaction,1
65.599,upper_right_interaction,1
67.398,upper_left_interaction,1
67.902,upper_right_interaction,1
68.403,lower_right_interaction,1
72.006,lower_left_interaction,1
75.844,lower_right_interaction,1
87.089,lower_left_interaction,1
89.392,upper_left_interaction,1
90.424,lower_left_interaction,1
90.927,upper_left_interaction,1
91.696,lower_left_interaction,1
92.465,lower_right_interaction,1
97.861,lower_left_interaction,1
99.9,lower_right_interaction,1
101.436,upper_right_interaction,1
102.47,lower_right_interaction,1
103.738,upper_right_interaction,1
104.772,lower_right_interaction,1
105.776,upper_right_interaction,1
107.312,upper_left_interaction,1
109.11,upper_right_interaction,1
110.645,center,1
125.76,upper_left_interaction,1
126.527,upper_right_interaction,1
128.562,upper_left_interaction,1
129.861,lower_left_interaction,1
130.365,lower_right_interaction,1
136.771,lower_left_interaction,1
137.008,lower_right_interaction,1
138.305,right_zone,1
143.678,upper_right_interaction,1
144.178,upper_left_interaction,1
144.709,left_zone,1
151.352,upper_left_interaction,1
152.386,upper_right_interaction,1
155.19,lower_right_interaction,1
156.991,upper_right_interaction,1
157.759,upper_left_interaction,1
161.595,lower_left_interaction,1
163.13,center,1
197.359,upper_left_interaction,1
197.598,upper_right_interaction,1
198.895,lower_right_interaction,1
212.207,lower_left_interaction,1
215.279,left_zone,1
216.047,upper_left_interaction,1
216.549,upper_right_interaction,1
217.583,right_zone,1
219.119,lower_right_interaction,1
229.359,lower_left_interaction,1
229.864,lower_right_interaction,1
233.435,lower_left_interaction,1
233.967,lower_right_interaction,1
239.839,upper_right_interaction,1
240.874,lower_right_interaction,1
245.212,lower_left_interaction,1
246.511,left_zone,1
250.084,upper_left_interaction,1
251.618,upper_right_interaction,1
253.658,center,1
291.055,upper_right_interaction,1
292.591,lower_right_interaction,1
293.595,right_zone,1
295.663,upper_right_interaction,1
296.162,upper_left_interaction,1
297.197,lower_left_interaction,1
297.434,lower_right_interaction,1
301.276,lower_left_interaction,1
301.801,center,1
330.731,upper_left_interaction,1
331.498,upper_right_interaction,1
333.8,upper_left_interaction,1
334.832,center,1
343.515,upper_left_interaction,1
343.778,upper_right_interaction,1
344.283,lower_right_interaction,1
354.523,lower_left_interaction,1
355.29,lower_right_interaction,1
382.448,lower_left_interaction,1
384.987,upper_left_interaction,1
387.054,upper_right_interaction,1
390.891,lower_right_interaction,1
391.659,lower_left_interaction,1
392.159,left_zone,1
394.991,upper_left_interaction,1
395.759,upper_right_interaction,1
396.763,lower_right_interaction,1
401.634,lower_left_interaction,1
403.675,lower_right_interaction,1
404.704,right_zone,1
409.577,upper_right_interaction,1
411.879,upper_left_interaction,1
412.378,upper_right_interaction,1
413.679,upper_left_interaction,1
414.949,lower_left_interaction,1
415.716,upper_left_interaction,1
417.25,lower_left_interaction,1
418.018,upper_left_interaction,1
418.522,center,1
432.867,upper_right_interaction,1
433.9,lower_right_interaction,1
440.303,center,1
481.247,upper_left_interaction,1
482.782,left_zone,1
483.549,upper_left_interaction,1
484.079,lower_left_interaction,1
484.317,lower_right_interaction,1
484.848,right_zone,1
487.92,upper_right_interaction,1
488.688,upper_left_interaction,1
490.723,left_zone,1
493.026,lower_left_interaction,1
493.531,lower_right_interaction,1
495.066,upper_right_interaction,1
495.595,lower_right_interaction,1
497.63,right_zone,1
498.928,lower_right_interaction,1
500.2,center,1
503.771,lower_right_interaction,1
505.839,upper_right_interaction,1
506.075,lower_right_interaction,1
507.374,lower_left_interaction,1
507.874,lower_right_interaction,1
512.22,lower_left_interaction,1
512.746,center,1
556.523,lower_left_interaction,1
558.057,lower_right_interaction,1
559.856,right_zone,1
560.862,upper_right_interaction,1
561.391,upper_left_interaction,1
561.895,left_zone,1
563.429,upper_left_interaction,1
566.499,center,1
583.917,center,1
584.417,lower_right_interaction,1
585.451,lower_left_interaction,1
590.319,lower_right_interaction,1
590.823,center,1
594.661,lower_right_interaction,1
606.941,upper_right_interaction,1
610.778,center,1
630.236,upper_left_interaction,1
631.264,upper_right_interaction,1
632.539,lower_right_interaction,1
637.404,lower_left_interaction,1
638.703,left_zone,1
640.74,upper_left_interaction,1
641.244,upper_right_interaction,1
642.275,right_zone,1
644.844,lower_right_interaction,1
646.112,lower_left_interaction,1
647.147,left_zone,1
648.414,lower_left_interaction,1
651.247,lower_right_interaction,1
659.692,lower_left_interaction,1
660.46,lower_right_interaction,1
660.96,right_zone,1
663.529,lower_right_interaction,1
664.798,upper_right_interaction,1
666.332,right_zone,1
671.706,upper_right_interaction,1
671.971,upper_left_interaction,1
672.239,left_zone,1
681.712,lower_left_interaction,1
682.48,upper_left_interaction,1
683.248,lower_left_interaction,1
684.517,left_zone,1
685.786,upper_left_interaction,1
686.555,lower_left_interaction,1
687.322,center,1
705.505,lower_left_interaction,1
706.011,lower_right_interaction,1
706.539,right_zone,1
707.306,lower_right_interaction,1
714.981,right_zone,1
717.018,upper_right_interaction,1
725.725,right_zone,1
726.759,upper_right_interaction,1
727.791,right_zone,1
728.56,lower_right_interaction,1
728.794,lower_left_interaction,1
730.095,upper_right_interaction,1
730.331,upper_left_interaction,1
731.098,left_zone,1
731.866,upper_left_interaction,1
732.399,center,1
739.039,upper_right_interaction,1
739.805,lower_right_interaction,1
740.336,right_zone,1
741.608,lower_right_interaction,1
744.176,center,1
848.454,upper_left_interaction,1
849.243,upper_right_interaction,1
851.017,lower_right_interaction,1
852.052,upper_right_interaction,1
852.552,lower_right_interaction,1
856.923,right_zone,1
869.703,lower_right_interaction,1
871.938,END,0
