time,code,class
52.686,right_zone,1
53.72,lower_right_interaction,1
55.757,lower_left_interaction,1
56.524,left_zone,1
59.86,lower_left_interaction,1
62.162,lower_right_interaction,1
63.194,upper_right_interaction,1
64.198,upper_left_interaction,1
65.232,left_zone,1
65.733,upper_left_interaction,1
66.266,lower_left_interaction,1
67.035,lower_right_interaction,1
69.336,right_zone,1
71.372,upper_right_interaction,1
73.674,lower_right_interaction,1
74.202,lower_left_interaction,1
75.976,lower_right_interaction,1
80.848,lower_left_interaction,1
81.35,lower_right_interaction,1
84.184,lower_left_interaction,1
85.189,upper_left_interaction,1
89.29,left_zone,1
93.393,lower_left_interaction,1
95.429,upper_left_interaction,1
101.068,left_zone,1
105.672,upper_left_interaction,1
107.208,lower_left_interaction,1
108.242,lower_right_interaction,1
128.462,lower_left_interaction,1
130.265,upper_left_interaction,1
132.567,lower_left_interaction,1
135.898,lower_right_interaction,1
136.905,right_zone,1
142.542,upper_right_interaction,1
144.344,upper_left_interaction,1
146.886,lower_left_interaction,1
149.716,left_zone,1
153.288,lower_left_interaction,1
169.169,upper_left_interaction,1
175.814,upper_right_interaction,1
177.35,lower_right_interaction,1
186.32,lower_left_interaction,1
230.098,upper_left_interaction,1
243.91,lower_left_interaction,1
245.21,lower_right_interaction,1
249.286,right_zone,1
254.689,upper_right_interaction,1
257.52,lower_right_interaction,1
258.288,lower_left_interaction,1
259.823,upper_left_interaction,1
261.594,left_zone,1
268.002,upper_left_interaction,1
270.304,lower_left_interaction,1
272.106,lower_right_interaction,1
281.314,upper_right_interaction,1
283.355,lower_right_interaction,1
290.288,lower_left_interaction,1
293.093,upper_left_interaction,1
313.05,lower_left_interaction,1
314.587,left_zone,1
315.355,lower_left_interaction,1
319.216,lower_right_interaction,1
320.987,right_zone,1
327.66,upper_right_interaction,1
331.999,right_zone,1
334.3,lower_right_interaction,1
338.671,lower_left_interaction,1
339.173,left_zone,1
368.301,lower_left_interaction,1
368.802,upper_left_interaction,1
370.843,upper_right_interaction,1
379.814,lower_right_interaction,1
384.923,lower_left_interaction,1
390.824,left_zone,1
395.931,upper_left_interaction,1
400.033,upper_right_interaction,1
423.087,upper_left_interaction,1
442.276,lower_left_interaction,1
445.612,lower_right_interaction,1
446.379,lower_left_interaction,1
448.682,lower_right_interaction,1
449.449,right_zone,1
460.46,lower_right_interaction,1
461.996,lower_left_interaction,1
471.238,upper_left_interaction,1
474.074,lower_left_interaction,1
481.482,upper_left_interaction,1
486.086,left_zone,1
490.19,lower_left_interaction,1
493.766,upper_left_interaction,1
495.563,upper_right_interaction,1
504.004,center,1
505.805,upper_right_interaction,1
508.108,lower_right_interaction,1
508.614,right_zone,1
509.909,lower_right_interaction,1
516.549,lower_left_interaction,1
517.318,lower_right_interaction,1
523.991,lower_left_interaction,1
527.061,lower_right_interaction,1
531.399,right_zone,1
535.502,upper_right_interaction,1
537.541,upper_left_interaction,1
540.374,upper_right_interaction,1
547.014,lower_right_interaction,1
552.389,lower_left_interaction,1
553.157,lower_right_interaction,1
554.715,lower_left_interaction,1
559.559,left_zone,1
563.397,upper_left_interaction,1
576.21,upper_right_interaction,1
580.815,right_zone,1
584.151,lower_right_interaction,1
587.221,lower_left_interaction,1
588.489,left_zone,1
594.629,upper_left_interaction,1
597.464,upper_right_interaction,1
599.766,upper_left_interaction,1
600.774,upper_right_interaction,1
605.906,lower_right_interaction,1
609.477,right_zone,1
611.013,lower_right_interaction,1
616.149,lower_left_interaction,1
628.695,upper_left_interaction,1
633.3,upper_right_interaction,1
639.941,center,1
645.579,upper_right_interaction,1
646.086,lower_right_interaction,1
648.648,lower_left_interaction,1
650.183,upper_left_interaction,1
651.217,lower_left_interaction,1
653.254,lower_right_interaction,1
654.022,lower_left_interaction,1
655.558,lower_right_interaction,1
657.094,lower_left_interaction,1
659.926,lower_right_interaction,1
660.427,lower_left_interaction,1
663.496,lower_right_interaction,1
664.532,lower_left_interaction,1
665.563,upper_left_interaction,1
667.6,center,1
677.844,upper_right_interaction,1
682.949,upper_left_interaction,1
688.589,center,1
695.762,upper_left_interaction,1
697.563,lower_left_interaction,1
698.564,lower_right_interaction,1
699.334,right_zone,1
705.238,upper_right_interaction,1
710.107,center,1
719.557,upper_left_interaction,1
721.621,lower_left_interaction,1
753.882,lower_right_interaction,1
761.561,right_zone,1
765.398,lower_right_interaction,1
766.166,upper_right_interaction,1
766.666,lower_right_interaction,1
769.737,upper_right_interaction,1
770.266,lower_right_interaction,1
774.342,lower_left_interaction,1
775.642,upper_left_interaction,1
779.212,center,1
784.584,upper_left_interaction,1
785.115,lower_left_interaction,1
794.762,END,0
