time,code,class
51.015,right_zone,1
53.938,upper_right_interaction,1
58.364,lower_right_interaction,1
65.429,upper_right_interaction,1
67.968,upper_left_interaction,1
68.736,left_zone,1
69.379,upper_left_interaction,1
73.889,upper_right_interaction,1
75.251,lower_right_interaction,1
75.567,lower_left_interaction,1
76.425,left_zone,1
80.946,upper_left_interaction,1
88.562,upper_right_interaction,1
92.158,lower_right_interaction,1
100.533,lower_left_interaction,1
110.992,upper_left_interaction,1
115.115,upper_right_interaction,1
121.283,lower_right_interaction,1
122.459,right_zone,1
124.304,upper_right_interaction,1
130.269,lower_right_interaction,1
136.354,lower_left_interaction,1
138.71,left_zone,1
139.466,upper_left_interaction,1
150.958,lower_left_interaction,1
161.141,lower_right_interaction,1
164.321,upper_right_interaction,1
169.36,right_zone,1
172.039,lower_right_interaction,1
174.976,lower_left_interaction,1
175.81,left_zone,1
187.126,upper_left_interaction,1
200.302,lower_left_interaction,1
206.537,lower_right_interaction,1
218.518,upper_right_interaction,1
219.308,upper_left_interaction,1
221.526,lower_left_interaction,1
226.297,lower_right_interaction,1
244.877,lower_left_interaction,1
247.735,upper_left_interaction,1
254.4,upper_right_interaction,1
262.723,lower_right_interaction,1
285.047,lower_left_interaction,1
285.724,left_zone,1
286.594,upper_left_interaction,1
289.632,upper_right_interaction,1
290.183,right_zone,1
296.569,lower_right_interaction,1
302.499,upper_right_interaction,1
305.132,upper_left_interaction,1
305.873,left_zone,1
308.573,lower_left_interaction,1
320.691,lower_right_interaction,1
321.121,upper_right_interaction,1
330.004,upper_left_interaction,1
332.48,upper_right_interaction,1
339.847,lower_right_interaction,1
347.122,upper_right_interaction,1
348.972,center,1
367.191,lower_left_interaction,1
370.306,upper_left_interaction,1
370.651,left_zone,1
374.787,lower_left_interaction,1
379.142,lower_right_interaction,1
380.011,upper_right_interaction,1
380.219,right_zone,1
383.216,lower_right_interaction,1
392.467,lower_left_interaction,1
411.287,upper_left_interaction,1
453.492,left_zone,1
482.538,lower_left_interaction,1
500.072,lower_right_interaction,1
505.534,upper_right_interaction,1
505.666,upper_right_interaction,1
529.83,lower_right_interaction,1
530.103,lower_left_interaction,1
530.693,left_zone,1
605.437,upper_left_interaction,1
628.269,lower_left_interaction,1
632.297,upper_left_interaction,1
633.406,left_zone,1
676.283,lower_left_interaction,1
678.414,upper_left_interaction,1
680.32,lower_left_interaction,1
681.565,lower_right_interaction,1
686.33,upper_right_interaction,1
690.027,center,1
759.316,lower_left_interaction,1
759.543,lower_right_interaction,1
765.453,upper_right_interaction,1
768.37,upper_left_interaction,1
768.837,lower_left_interaction,1
791.956,lower_right_interaction,1
795.956,lower_left_interaction,1
797.287,upper_left_interaction,1
806.406,upper_right_interaction,1
810.547,lower_right_interaction,1
813.921,lower_left_interaction,1
866.502,lower_left_interaction,1
867.833,upper_right_interaction,1
869.105,left_zone,1
870.002,upper_left_interaction,1
873.644,center,1
905.386,upper_left_interaction,1
906.819,center,1
915.466,END,0
