time,code,class
42.09,right_zone,1
44.94,lower_right_interaction,1
46.691,upper_right_interaction,1
48.655,lower_right_interaction,1
51.751,lower_left_interaction,1
52.468,left_zone,1
53.079,upper_left_interaction,1
53.817,upper_right_interaction,1
54.696,right_zone,1
55.461,lower_right_interaction,1
55.967,lower_left_interaction,1
56.722,left_zone,1
57.953,upper_left_interaction,1
60.889,upper_right_interaction,1
62.242,lower_right_interaction,1
66.889,lower_left_interaction,1
68.503,upper_left_interaction,1
76.539,upper_right_interaction,1
87.854,upper_left_interaction,1
88.631,left_zone,1
92.289,lower_left_interaction,1
93.693,lower_right_interaction,1
96.727,right_zone,1
98.611,lower_right_interaction,1
99.096,upper_right_interaction,1
102.702,upper_left_interaction,1
108.483,upper_right_interaction,1
109.579,upper_left_interaction,1
111.113,lower_left_interaction,1
114.413,lower_right_interaction,1
116.228,right_zone,1
120.552,upper_right_interaction,1
123.926,lower_right_interaction,1
130.774,lower_left_interaction,1
135.935,upper_left_interaction,1
139.731,upper_right_interaction,1
142.75,lower_right_interaction,1
147.414,lower_left_interaction,1
150.361,upper_left_interaction,1
155.815,upper_right_interaction,1
156.755,right_zone,1
161.793,lower_right_interaction,1
170.631,lower_left_interaction,1
173.848,left_zone,1
176.239,upper_left_interaction,1
185.493,lower_left_interaction,1
185.917,left_zone,1
187.703,lower_left_interaction,1
198.276,lower_right_interaction,1
198.9,upper_right_interaction,1
208.111,lower_right_interaction,1
208.846,right_zone,1
216.321,upper_right_interaction,1
217.352,upper_left_interaction,1
217.944,left_zone,1
224.901,lower_left_interaction,1
228.809,upper_left_interaction,1
237.075,lower_left_interaction,1
247.642,lower_right_interaction,1
250.942,center,1
275.592,lower_left_interaction,1
277.248,lower_right_interaction,1
279.118,upper_right_interaction,1
284.191,lower_right_interaction,1
288.629,upper_right_interaction,1
292.852,upper_left_interaction,1
299.871,upper_right_interaction,1
312.51,lower_right_interaction,1
313.518,right_zone,1
316.215,lower_right_interaction,1
329.162,right_zone,1
332.535,upper_right_interaction,1
340.105,lower_right_interaction,1
340.536,right_zone,1
345.879,lower_right_interaction,1
346.525,lower_left_interaction,1
383.355,left_zone,1
406.95,upper_left_interaction,1
464.912,lower_left_interaction,1
477.959,lower_right_interaction,1
482.28,upper_right_interaction,1
486.444,upper_left_interaction,1
492.151,lower_left_interaction,1
503.836,lower_right_interaction,1
506.339,right_zone,1
508.632,upper_right_interaction,1
510.568,lower_right_interaction,1
514.052,upper_right_interaction,1
521.485,lower_right_interaction,1
538.945,lower_left_interaction,1
542.052,lower_right_interaction,1
548.974,lower_left_interaction,1
551.925,upper_left_interaction,1
560.691,upper_right_interaction,1
564.463,upper_left_interaction,1
566.271,upper_right_interaction,1
566.806,right_zone,1
584.926,upper_right_interaction,1
585.856,right_zone,1
586.419,lower_right_interaction,1
591.329,lower_left_interaction,1
592.564,left_zone,1
596.271,upper_left_interaction,1
598.166,upper_right_interaction,1
601.003,right_zone,1
604.073,lower_right_interaction,1
606.241,lower_left_interaction,1
608.637,center,1
618.523,lower_right_interaction,1
623.147,center,1
635.929,lower_right_interaction,1
638.439,center,1
646.64,lower_right_interaction,1
661.392,upper_right_interaction,1
662.774,lower_right_interaction,1
665.195,lower_left_interaction,1
665.696,upper_left_interaction,1
678.119,lower_left_interaction,1
678.703,lower_right_interaction,1
682.594,upper_right_interaction,1
683.355,center,1
731.803,upper_right_interaction,1
732.243,lower_right_interaction,1
732.514,right_zone,1
748.214,upper_right_interaction,1
755.702,upper_left_interaction,1
757.528,lower_left_interaction,1
769.415,lower_right_interaction,1
811.576,upper_right_interaction,1
815.689,upper_left_interaction,1
822.892,center,1
833.971,lower_right_interaction,1
844.171,center,1
882.39,lower_left_interaction,1
892.757,lower_right_interaction,1
895.139,right_zone,1
901.342,upper_right_interaction,1
914.454,END,0
