time,code,class
49.025,right_zone,1
49.35,upper_right_interaction,1
51.016,upper_left_interaction,1
51.85,left_zone,1
52.684,lower_left_interaction,1
51.896,left_zone,1
52.779,lower_left_interaction,1
53.192,lower_right_interaction,1
53.793,right_zone,1
56.206,lower_right_interaction,1
62.028,upper_right_interaction,1
63.139,upper_left_interaction,1
63.518,left_zone,1
64.726,lower_left_interaction,1
65.416,lower_right_interaction,1
65.863,right_zone,1
66.997,upper_right_interaction,1
70.5,upper_left_interaction,1
76.482,upper_right_interaction,1
77.756,lower_right_interaction,1
82.213,upper_right_interaction,1
86.258,right_zone,1
88.065,lower_right_interaction,1
92.522,upper_right_interaction,1
98.297,right_zone,1
99.474,upper_right_interaction,1
102.829,upper_left_interaction,1
104.705,left_zone,1
106.422,lower_left_interaction,1
110.62,lower_right_interaction,1
111.822,upper_right_interaction,1
116.776,lower_right_interaction,1
129.1,lower_left_interaction,1
137.736,lower_right_interaction,1
145.306,upper_right_interaction,1
146.25,upper_left_interaction,1
147.019,lower_left_interaction,1
152.661,lower_right_interaction,1
166.571,lower_left_interaction,1
168.26,upper_left_interaction,1
170.17,upper_right_interaction,1
170.869,lower_right_interaction,1
195.031,upper_right_interaction,1
197.233,upper_left_interaction,1
199.576,lower_left_interaction,1
202.483,lower_right_interaction,1
208.665,upper_right_interaction,1
212.147,upper_left_interaction,1
212.911,lower_left_interaction,1
216.15,lower_right_interaction,1
226.297,lower_left_interaction,1
231.283,upper_left_interaction,1
238.044,lower_left_interaction,1
238.444,lower_right_interaction,1
240.204,right_zone,1
242.81,upper_right_interaction,1
253.786,lower_right_interaction,1
266.204,lower_left_interaction,1
267.172,upper_left_interaction,1
269.403,upper_right_interaction,1
273.807,right_zone,1
276.544,lower_right_interaction,1
287.491,lower_left_interaction,1
287.905,left_zone,1
291.63,upper_left_interaction,1
292.63,upper_right_interaction,1
293.102,right_zone,1
296.558,lower_right_interaction,1
309.017,upper_right_interaction,1
309.615,upper_left_interaction,1
310.107,left_zone,1
314.182,lower_left_interaction,1
328.893,lower_right_interaction,1
329.333,upper_right_interaction,1
353.897,lower_right_interaction,1
365.105,lower_left_interaction,1
365.536,upper_left_interaction,1
371.275,upper_right_interaction,1
380.845,lower_right_interaction,1
384.224,lower_left_interaction,1
384.759,upper_left_interaction,1
388.463,upper_right_interaction,1
394.905,lower_right_interaction,1
395.763,right_zone,1
399.739,upper_right_interaction,1
406.232,center,1
414.286,upper_left_interaction,1
429.557,lower_left_interaction,1
432.809,left_zone,1
442.291,upper_left_interaction,1
454.317,upper_right_interaction,1
459.855,right_zone,1
465.186,lower_right_interaction,1
470.52,lower_left_interaction,1
471.342,center,1
507.619,upper_right_interaction,1
508.5,upper_left_interaction,1
510.053,upper_right_interaction,1
510.726,lower_right_interaction,1
511.16,right_zone,1
511.513,lower_right_interaction,1
514.047,upper_right_interaction,1
514.457,upper_left_interaction,1
516.219,lower_left_interaction,1
517.751,center,1
528.455,upper_left_interaction,1
533.87,upper_right_interaction,1
535.898,right_zone,1
537.128,upper_right_interaction,1
539.604,center,1
562.229,lower_right_interaction,1
566.048,lower_left_interaction,1
566.471,upper_left_interaction,1
572.766,upper_right_interaction,1
585.251,lower_right_interaction,1
586.224,lower_left_interaction,1
586.786,left_zone,1
591.356,upper_left_interaction,1
593.905,lower_left_interaction,1
594.33,lower_right_interaction,1
594.785,right_zone,1
598.099,upper_right_interaction,1
599.814,center,1
627.307,lower_right_interaction,1
631.039,center,1
634.029,lower_left_interaction,1
646.755,upper_left_interaction,1
651.469,upper_right_interaction,1
651.716,right_zone,1
655.525,lower_right_interaction,1
682.421,lower_left_interaction,1
683.813,upper_left_interaction,1
692.289,center,1
711.345,lower_left_interaction,1
713.443,lower_right_interaction,1
721.885,upper_right_interaction,1
725.872,lower_right_interaction,1
730.54,upper_right_interaction,1
730.965,right_zone,1
731.553,upper_right_interaction,1
753.996,lower_right_interaction,1
762.669,right_zone,1
763.23,lower_right_interaction,1
774.603,lower_left_interaction,1
775.148,center,1
780.532,lower_left_interaction,1
787.631,left_zone,1
788.561,lower_left_interaction,1
792.545,lower_right_interaction,1
795.917,center,1
808.573,upper_right_interaction,1
809.954,upper_left_interaction,1
810.549,upper_right_interaction,1
815.116,right_zone,1
816.025,lower_right_interaction,1
820.95,lower_left_interaction,1
821.352,left_zone,1
827.339,upper_left_interaction,1
828.338,upper_right_interaction,1
828.693,right_zone,1
839.75,lower_right_interaction,1
850.28,right_zone,1
850.519,lower_right_interaction,1
858.801,lower_left_interaction,1
859.722,upper_left_interaction,1
860.694,upper_right_interaction,1
860.935,right_zone,1
866.973,lower_right_interaction,1
871.974,upper_right_interaction,1
873.37,center,1
880.31,lower_left_interaction,1
882.222,center,1
886.054,upper_right_interaction,1
887.088,center,1
887.088,center,1
897.305,upper_right_interaction,1
908.441,center,1
918.19,lower_right_interaction,1
923.787,lower_left_interaction,1
929.965,lower_right_interaction,1
930.459,right_zone,1
937.483,upper_right_interaction,1
938.611,lower_right_interaction,1
944.82,lower_left_interaction,1
945.121,left_zone,1
952.925,upper_left_interaction,1
956.56,upper_right_interaction,1
959.772,center,1
973.142,lower_left_interaction,1
977.475,lower_right_interaction,1
978.514,upper_right_interaction,1
979.887,right_zone,1
980.49,upper_right_interaction,1
981.111,lower_right_interaction,1
993.559,END,0
