time,code,class
22.261,right_zone,1
23.476,upper_right_interaction,1
24.599,upper_left_interaction,1
30.172,left_zone,1
32.423,upper_left_interaction,1
38.152,upper_right_interaction,1
50.946,upper_left_interaction,1
59.871,lower_left_interaction,1
60.662,lower_right_interaction,1
61.655,upper_right_interaction,1
66.906,center,1
123.507,upper_right_interaction,1
133.511,upper_left_interaction,1
137.439,lower_left_interaction,1
139.183,lower_right_interaction,1
140.309,upper_right_interaction,1
144.58,upper_left_interaction,1
145.249,left_zone,1
156.666,upper_left_interaction,1
163.235,upper_right_interaction,1
171.245,right_zone,1
173.107,upper_right_interaction,1
175.274,center,1
188.594,upper_right_interaction,1
192.797,center,1
246.915,upper_left_interaction,1
254.152,center,1
262.876,upper_left_interaction,1
264.924,upper_right_interaction,1
270.211,upper_left_interaction,1
273.506,lower_left_interaction,1
279.359,lower_right_interaction,1
280.385,upper_right_interaction,1
288.327,upper_left_interaction,1
289.197,left_zone,1
306.539,upper_left_interaction,1
309.538,upper_right_interaction,1
309.967,right_zone,1
323.153,lower_right_interaction,1
327.229,center,1
360.662,upper_right_interaction,1
376.581,center,1
395.091,upper_right_interaction,1
400.461,lower_right_interaction,1
402.369,center,1
409.098,upper_left_interaction,1
414.951,center,1
419.631,lower_left_interaction,1
430.706,left_zone,1
437.343,upper_left_interaction,1
442.419,upper_right_interaction,1
444.024,right_zone,1
445.657,lower_right_interaction,1
446.177,lower_left_interaction,1
482.007,upper_left_interaction,1
489.155,center,1
597.358,upper_right_interaction,1
613.79,upper_left_interaction,1
616.798,left_zone,1
618.457,upper_left_interaction,1
622.401,upper_right_interaction,1
628.227,right_zone,1
630.122,lower_right_interaction,1
638.108,lower_left_interaction,1
641.9,upper_left_interaction,1
649.122,upper_right_interaction,1
651.324,right_zone,1
656.565,lower_right_interaction,1
657.561,lower_left_interaction,1
657.997,left_zone,1
661.07,lower_left_interaction,1
662.881,center,1
666.931,lower_right_interaction,1
667.98,upper_right_interaction,1
672.946,lower_right_interaction,1
674.614,center,1
699.488,upper_left_interaction,1
724.455,upper_right_interaction,1
726.407,upper_left_interaction,1
729.143,center,1
735.135,lower_left_interaction,1
738.06,upper_left_interaction,1
746.044,upper_right_interaction,1
752.023,upper_left_interaction,1
753.762,lower_left_interaction,1
767.696,center,1
787.852,upper_right_interaction,1
793.79,right_zone,1
798.068,upper_right_interaction,1
808.597,upper_left_interaction,1
809.877,left_zone,1
845.543,upper_left_interaction,1
846.791,upper_right_interaction,1
870.475,upper_left_interaction,1
871.205,left_zone,1
877.651,lower_left_interaction,1
881.225,lower_right_interaction,1
882.416,upper_right_interaction,1
900.669,upper_left_interaction,1
912.458,lower_left_interaction,1
924.994,lower_right_interaction,1
927.153,lower_left_interaction,1
932.734,upper_left_interaction,1
936.299,upper_right_interaction,1
945.39,END,0
