time,code,class
48.019,right_zone,1
49.582,upper_right_interaction,1
54.83,upper_left_interaction,1
56.887,left_zone,1
59.461,upper_left_interaction,1
63.601,lower_left_interaction,1
64.732,lower_right_interaction,1
68.206,right_zone,1
68.908,upper_right_interaction,1
70.005,upper_left_interaction,1
71.312,left_zone,1
73.821,lower_left_interaction,1
78.254,upper_left_interaction,1
81.246,upper_right_interaction,1
81.628,right_zone,1
83.08,lower_right_interaction,1
89.805,lower_left_interaction,1
90.69,upper_left_interaction,1
97.411,lower_left_interaction,1
103.071,lower_right_interaction,1
108.133,lower_left_interaction,1
108.806,upper_left_interaction,1
110.132,left_zone,1
124.158,lower_left_interaction,1
124.901,upper_left_interaction,1
137.95,lower_left_interaction,1
146.999,lower_right_interaction,1
148.111,right_zone,1
151.613,upper_right_interaction,1
154.194,upper_left_interaction,1
162.439,lower_left_interaction,1
179.78,upper_left_interaction,1
183.612,upper_right_interaction,1
184.37,right_zone,1
186.422,upper_right_interaction,1
187.545,right_zone,1
192.33,upper_right_interaction,1
196.499,lower_right_interaction,1
199.891,lower_left_interaction,1
200.57,left_zone,1
232.624,upper_left_interaction,1
249.029,lower_left_interaction,1
249.987,lower_right_interaction,1
250.593,right_zone,1
254.602,upper_right_interaction,1
260.903,lower_right_interaction,1
288.396,lower_left_interaction,1
290.582,upper_left_interaction,1
295.595,lower_left_interaction,1
299.432,upper_right_interaction,1
302.331,lower_right_interaction,1
308.241,lower_left_interaction,1
313.09,upper_left_interaction,1
315.405,center,1
329.318,upper_right_interaction,1
330.869,center,1
336.533,upper_right_interaction,1
338.484,center,1
344.499,upper_left_interaction,1
345.045,left_zone,1
346.782,lower_left_interaction,1
361.919,left_zone,1
388.658,upper_left_interaction,1
447.727,upper_right_interaction,1
470.741,upper_left_interaction,1
547.051,left_zone,1
616.886,upper_left_interaction,1
753.396,left_zone,1
762.839,upper_left_interaction,1
769.14,lower_left_interaction,1
772.367,lower_right_interaction,1
779.256,upper_right_interaction,1
787.529,upper_left_interaction,1
788.764,left_zone,1
804.434,upper_left_interaction,1
805.974,center,1
815.116,upper_left_interaction,1
817.648,center,1
847.704,upper_left_interaction,1
850.446,center,1
860.941,lower_right_interaction,1
866.21,upper_right_interaction,1
871.21,upper_left_interaction,1
871.68,left_zone,1
874.87,lower_left_interaction,1
878.99,lower_right_interaction,1
900.139,right_zone,1
905.774,upper_right_interaction,1
914.049,lower_right_interaction,1
929.428,lower_left_interaction,1
935.819,END,0
