time,code,class
46.706,right_zone,1
47.287,upper_right_interaction,1
48.644,lower_right_interaction,1
51.321,upper_right_interaction,1
53.312,upper_left_interaction,1
54.002,left_zone,1
55.596,lower_left_interaction,1
58.52,upper_left_interaction,1
60.163,left_zone,1
62.53,lower_left_interaction,1
64.264,lower_right_interaction,1
66.061,right_zone,1
66.927,upper_right_interaction,1
69.939,lower_right_interaction,1
70.836,right_zone,1
72.992,lower_right_interaction,1
78.805,upper_right_interaction,1
80.649,right_zone,1
83.478,upper_right_interaction,1
86.54,upper_left_interaction,1
87.513,left_zone,1
88.964,lower_left_interaction,1
96.197,upper_left_interaction,1
99.506,upper_right_interaction,1
107.547,upper_left_interaction,1
118.156,upper_right_interaction,1
128.8,lower_right_interaction,1
129.566,lower_left_interaction,1
135.045,upper_left_interaction,1
137.483,upper_right_interaction,1
145.889,lower_right_interaction,1
147.492,lower_left_interaction,1
153.927,upper_left_interaction,1
158.296,lower_left_interaction,1
166.637,lower_right_interaction,1
170.078,upper_right_interaction,1
174.676,upper_left_interaction,1
180.998,lower_left_interaction,1
181.497,lower_right_interaction,1
183.626,upper_right_interaction,1
196.854,upper_left_interaction,1
199.093,lower_left_interaction,1
208.707,lower_right_interaction,1
209.717,right_zone,1
211.182,lower_right_interaction,1
219.387,upper_right_interaction,1
220.356,right_zone,1
225.165,lower_right_interaction,1
225.76,lower_left_interaction,1
226.21,left_zone,1
233.304,upper_left_interaction,1
234.032,upper_right_interaction,1
234.536,right_zone,1
237.643,upper_right_interaction,1
251.259,upper_left_interaction,1
251.765,left_zone,1
254.859,lower_left_interaction,1
255.371,lower_right_interaction,1
256.161,right_zone,1
258.764,upper_right_interaction,1
261.797,center,1
282.053,upper_right_interaction,1
283.059,upper_left_interaction,1
286.896,left_zone,1
288.758,upper_left_interaction,1
289.701,upper_right_interaction,1
290.595,upper_left_interaction,1
301.867,upper_right_interaction,1
321.59,lower_right_interaction,1
322.234,lower_left_interaction,1
342.87,upper_left_interaction,1
344.334,upper_right_interaction,1
344.879,right_zone,1
346.276,upper_right_interaction,1
348.457,upper_left_interaction,1
349.878,center,1
380.914,upper_right_interaction,1
381.539,upper_left_interaction,1
387.53,lower_left_interaction,1
387.994,lower_right_interaction,1
394.286,lower_left_interaction,1
433.652,lower_right_interaction,1
455.791,upper_right_interaction,1
463.458,lower_right_interaction,1
465.107,lower_left_interaction,1
466.764,left_zone,1
471.614,upper_left_interaction,1
478.012,upper_right_interaction,1
479.075,right_zone,1
510.154,upper_right_interaction,1
516.087,lower_right_interaction,1
517.888,lower_left_interaction,1
535.008,lower_right_interaction,1
535.915,right_zone,1
538.169,upper_right_interaction,1
544.889,upper_left_interaction,1
545.646,left_zone,1
548.457,lower_left_interaction,1
555.617,lower_right_interaction,1
557.342,lower_left_interaction,1
560.67,center,1
597.666,lower_left_interaction,1
598.233,lower_right_interaction,1
599.863,upper_right_interaction,1
608.475,upper_left_interaction,1
609.748,left_zone,1
614.708,lower_left_interaction,1
618.414,lower_right_interaction,1
618.891,right_zone,1
623.588,lower_right_interaction,1
630.933,upper_right_interaction,1
633.093,upper_left_interaction,1
633.669,left_zone,1
635.767,upper_left_interaction,1
637.217,upper_right_interaction,1
637.704,right_zone,1
640.771,upper_right_interaction,1
646.081,upper_left_interaction,1
648.643,center,1
653.355,upper_right_interaction,1
654.5,center,1
659.258,upper_right_interaction,1
660.599,upper_left_interaction,1
662.32,lower_left_interaction,1
662.719,lower_right_interaction,1
684.791,lower_left_interaction,1
692.831,lower_right_interaction,1
693.306,right_zone,1
699.738,upper_right_interaction,1
714.456,upper_left_interaction,1
714.888,left_zone,1
722.662,lower_left_interaction,1
725.293,left_zone,1
728.465,upper_left_interaction,1
731.615,lower_left_interaction,1
734.575,lower_right_interaction,1
740.116,upper_right_interaction,1
758.62,right_zone,1
759.991,lower_right_interaction,1
769.438,lower_left_interaction,1
772.424,lower_right_interaction,1
784.226,right_zone,1
787.792,upper_right_interaction,1
796.132,upper_left_interaction,1
798.573,left_zone,1
800.647,upper_left_interaction,1
801.61,upper_right_interaction,1
812.012,upper_left_interaction,1
817.489,lower_left_interaction,1
833.316,center,1
878.016,lower_right_interaction,1
878.759,upper_right_interaction,1
879.584,upper_left_interaction,1
879.981,left_zone,1
882.159,upper_left_interaction,1
885.55,lower_left_interaction,1
890.255,lower_right_interaction,1
890.619,upper_right_interaction,1
893.762,right_zone,1
905.172,lower_right_interaction,1
908.243,upper_right_interaction,1
911.336,upper_left_interaction,1
912.046,left_zone,1
914.348,lower_left_interaction,1
915.382,upper_left_interaction,1
919.464,center,1
927.973,END,0
