time,code,class
32.88,right_zone,1
36.245,upper_right_interaction,1
59.3,lower_right_interaction,1
67.864,lower_left_interaction,1
68.375,left_zone,1
71.69,upper_left_interaction,1
78.389,upper_right_interaction,1
85.064,right_zone,1
90.764,lower_right_interaction,1
93.163,lower_left_interaction,1
95.241,left_zone,1
97.388,upper_left_interaction,1
100.671,upper_right_interaction,1
102.867,right_zone,1
106.349,lower_right_interaction,1
118.25,lower_left_interaction,1
123.815,lower_right_interaction,1
125.058,upper_right_interaction,1
126.455,lower_right_interaction,1
132.812,upper_right_interaction,1
137.284,upper_left_interaction,1
139.503,lower_left_interaction,1
143.979,upper_left_interaction,1
150.684,upper_right_interaction,1
156.024,lower_right_interaction,1
160.433,lower_left_interaction,1
164.641,left_zone,1
165.92,upper_left_interaction,1
170.075,upper_right_interaction,1
175.644,lower_right_interaction,1
180.559,lower_left_interaction,1
182.578,lower_right_interaction,1
184.318,lower_left_interaction,1
185.665,upper_left_interaction,1
189.194,upper_right_interaction,1
193.098,upper_left_interaction,1
195.66,left_zone,1
197.046,upper_left_interaction,1
200.375,lower_left_interaction,1
200.971,lower_right_interaction,1
207.67,right_zone,1
211.043,upper_right_interaction,1
214.121,lower_right_interaction,1
215.113,right_zone,1
216.88,lower_right_interaction,1
222.77,upper_right_interaction,1
223.601,upper_left_interaction,1
224.551,left_zone,1
226.845,lower_left_interaction,1
232.804,upper_left_interaction,1
237.877,upper_right_interaction,1
239.734,center,1
249.895,upper_right_interaction,1
267.976,lower_right_interaction,1
272.106,upper_right_interaction,1
280.877,right_zone,1
283.816,lower_right_interaction,1
284.457,lower_left_interaction,1
286.114,left_zone,1
286.359,upper_left_interaction,1
292.036,upper_right_interaction,1
293.17,center,1
329.272,upper_left_interaction,1
330.935,upper_right_interaction,1
333.199,lower_right_interaction,1
348.196,lower_left_interaction,1
350.753,upper_left_interaction,1
371.543,upper_right_interaction,1
373.368,right_zone,1
381.357,upper_right_interaction,1
393.351,lower_right_interaction,1
410.076,lower_left_interaction,1
411.612,upper_left_interaction,1
414.979,upper_right_interaction,1
420.379,lower_right_interaction,1
422.661,upper_right_interaction,1
425.497,upper_left_interaction,1
431.326,lower_left_interaction,1
437.901,lower_right_interaction,1
446.849,upper_right_interaction,1
450.309,center,1
462.359,lower_right_interaction,1
517.491,right_zone,1
524.335,upper_right_interaction,1
524.829,lower_right_interaction,1
526.736,lower_left_interaction,1
533.767,upper_left_interaction,1
534.347,left_zone,1
538.937,lower_left_interaction,1
539.303,upper_left_interaction,1
541.916,upper_right_interaction,1
545.318,lower_right_interaction,1
556.572,upper_right_interaction,1
562.314,upper_left_interaction,1
565.599,center,1
610.445,lower_right_interaction,1
619.845,lower_left_interaction,1
621.362,upper_left_interaction,1
630.121,upper_right_interaction,1
640.224,right_zone,1
643.952,lower_right_interaction,1
650.053,lower_left_interaction,1
654.241,center,1
669.468,lower_right_interaction,1
671.939,right_zone,1
675.401,upper_right_interaction,1
678.653,center,1
681.317,lower_left_interaction,1
693.707,upper_left_interaction,1
695.886,center,1
715.219,upper_right_interaction,1
720.148,right_zone,1
729.142,upper_right_interaction,1
732.331,upper_left_interaction,1
733.756,upper_right_interaction,1
735.108,upper_left_interaction,1
736.242,center,1
763.319,upper_left_interaction,1
763.85,upper_right_interaction,1
765.456,lower_right_interaction,1
769.185,lower_left_interaction,1
769.843,left_zone,1
772.65,upper_left_interaction,1
774.881,lower_left_interaction,1
795.097,center,1
799.488,lower_left_interaction,1
801.634,lower_right_interaction,1
816.314,upper_right_interaction,1
826.559,right_zone,1
830.105,upper_right_interaction,1
830.604,lower_right_interaction,1
831.903,lower_left_interaction,1
834.092,left_zone,1
837.669,upper_left_interaction,1
839.108,center,1
849.151,upper_right_interaction,1
851.102,center,1
859.905,lower_right_interaction,1
884.676,center,1
886.585,lower_right_interaction,1
889.202,center,1
891.469,lower_right_interaction,1
899.29,END,0
