time,code,class
35.04,left_zone,1
36.849,upper_left_interaction,1
39.763,upper_right_interaction,1
41.046,lower_right_interaction,1
44.352,upper_right_interaction,1
45.543,upper_left_interaction,1
47.194,upper_right_interaction,1
47.685,upper_left_interaction,1
48.523,lower_left_interaction,1
49.895,lower_right_interaction,1
50.547,right_zone,1
52.281,upper_right_interaction,1
54.117,upper_left_interaction,1
58.555,lower_left_interaction,1
62.767,upper_left_interaction,1
69.851,upper_right_interaction,1
72.775,lower_right_interaction,1
76.31,lower_left_interaction,1
79.807,left_zone,1
81.843,upper_left_interaction,1
94.428,upper_right_interaction,1
96.732,lower_right_interaction,1
99.3,lower_left_interaction,1
105.675,left_zone,1
107.845,upper_left_interaction,1
109.555,upper_right_interaction,1
111.214,upper_left_interaction,1
120.214,lower_left_interaction,1
122.023,upper_left_interaction,1
126.035,upper_right_interaction,1
127.648,lower_right_interaction,1
151.618,upper_right_interaction,1
153.388,upper_left_interaction,1
173.888,upper_right_interaction,1
176.909,upper_left_interaction,1
188.767,lower_left_interaction,1
190.652,left_zone,1
194.495,upper_left_interaction,1
203.511,lower_left_interaction,1
204.013,lower_right_interaction,1
204.906,right_zone,1
207.534,upper_right_interaction,1
212.95,lower_right_interaction,1
213.353,right_zone,1
215.244,lower_right_interaction,1
218.294,lower_left_interaction,1
218.753,left_zone,1
220.316,upper_left_interaction,1
224.003,lower_left_interaction,1
226.47,lower_right_interaction,1
228.419,upper_right_interaction,1
230.411,center,1
251.017,upper_right_interaction,1
251.676,upper_left_interaction,1
252.623,lower_left_interaction,1
253.217,left_zone,1
254.946,lower_left_interaction,1
256.887,lower_right_interaction,1
257.487,right_zone,1
260.361,upper_right_interaction,1
262.656,upper_left_interaction,1
277.919,lower_left_interaction,1
279.772,center,1
283.317,lower_left_interaction,1
286.724,center,1
338.595,lower_right_interaction,1
344.547,upper_right_interaction,1
344.951,upper_left_interaction,1
355.499,lower_left_interaction,1
360.933,lower_right_interaction,1
361.499,right_zone,1
364.81,upper_right_interaction,1
368.472,upper_left_interaction,1
369.205,left_zone,1
373.341,lower_left_interaction,1
374.575,upper_left_interaction,1
396.855,lower_left_interaction,1
398.298,center,1
417.687,lower_left_interaction,1
423.586,upper_left_interaction,1
426.857,lower_left_interaction,1
428.451,upper_left_interaction,1
435.162,upper_right_interaction,1
435.434,lower_right_interaction,1
438.18,lower_left_interaction,1
441.548,left_zone,1
445.072,upper_left_interaction,1
446.793,left_zone,1
451.447,lower_left_interaction,1
452.398,lower_right_interaction,1
456.863,center,1
459.205,upper_left_interaction,1
460.039,left_zone,1
462.703,upper_left_interaction,1
466.171,upper_right_interaction,1
468.49,right_zone,1
479.007,lower_right_interaction,1
481.254,center,1
506.882,upper_right_interaction,1
507.297,lower_right_interaction,1
512.748,lower_left_interaction,1
513.49,upper_left_interaction,1
528.652,center,1
581.788,upper_right_interaction,1
582.493,center,1
584.656,lower_left_interaction,1
585.888,lower_right_interaction,1
587.69,upper_right_interaction,1
590.701,upper_left_interaction,1
591.396,lower_left_interaction,1
641.951,lower_right_interaction,1
647.643,upper_right_interaction,1
650.144,upper_left_interaction,1
653.761,lower_left_interaction,1
658.434,lower_right_interaction,1
662.461,upper_right_interaction,1
667.638,upper_left_interaction,1
672.675,left_zone,1
675.644,lower_left_interaction,1
681.573,upper_left_interaction,1
683.019,upper_right_interaction,1
683.519,lower_right_interaction,1
688.257,center,1
708.307,lower_left_interaction,1
713.148,lower_right_interaction,1
715.583,upper_right_interaction,1
717.446,upper_left_interaction,1
718.245,left_zone,1
721.633,lower_left_interaction,1
722.656,lower_right_interaction,1
722.95,right_zone,1
735.926,lower_right_interaction,1
738.592,upper_right_interaction,1
738.836,upper_left_interaction,1
740.36,lower_left_interaction,1
742.386,center,1
775.179,lower_left_interaction,1
777.645,center,1
781.092,lower_right_interaction,1
785.588,upper_right_interaction,1
786.229,upper_left_interaction,1
787.253,left_zone,1
791.888,lower_left_interaction,1
792.841,upper_left_interaction,1
796.738,upper_right_interaction,1
801.799,lower_right_interaction,1
809.733,lower_left_interaction,1
812.646,upper_left_interaction,1
814.414,upper_right_interaction,1
816.491,right_zone,1
821.656,lower_right_interaction,1
823.494,lower_left_interaction,1
824.523,left_zone,1
825.588,upper_left_interaction,1
840.138,center,1
846.412,END,0
