time,code,class
18.692,right_zone,1
18.885,lower_right_interaction,1
22.448,lower_left_interaction,1
23.023,left_zone,1
24.563,upper_left_interaction,1
25.013,upper_right_interaction,1
25.501,right_zone,1
28.205,lower_right_interaction,1
29.045,lower_left_interaction,1
30.162,lower_right_interaction,1
33.2,upper_right_interaction,1
34.258,upper_left_interaction,1
40.571,lower_left_interaction,1
40.843,left_zone,1
41.141,lower_left_interaction,1
43.311,lower_right_interaction,1
45.082,upper_right_interaction,1
45.669,upper_left_interaction,1
46.048,left_zone,1
47.615,lower_left_interaction,1
48.259,lower_right_interaction,1
49.078,right_zone,1
52.62,upper_right_interaction,1
57.732,lower_right_interaction,1
64.693,upper_right_interaction,1
67.124,lower_right_interaction,1
71.602,upper_right_interaction,1
72.861,upper_left_interaction,1
76.619,left_zone,1
80.34,upper_left_interaction,1
84.909,lower_left_interaction,1
87.021,lower_right_interaction,1
87.488,right_zone,1
91.466,upper_right_interaction,1
101.708,upper_left_interaction,1
103.299,lower_left_interaction,1
104.109,lower_right_interaction,1
107.609,upper_right_interaction,1
112.28,upper_left_interaction,1
113.441,lower_left_interaction,1
117.249,lower_right_interaction,1
121.323,lower_left_interaction,1
122.909,lower_right_interaction,1
125.661,upper_right_interaction,1
126.623,upper_left_interaction,1
128.729,left_zone,1
129.53,lower_left_interaction,1
133.092,lower_right_interaction,1
134.09,upper_right_interaction,1
136.363,upper_left_interaction,1
140.494,center,1
155.331,upper_left_interaction,1
162.518,lower_left_interaction,1
162.964,lower_right_interaction,1
163.673,upper_right_interaction,1
166.472,upper_left_interaction,1
177.16,upper_right_interaction,1
182.26,upper_left_interaction,1
186.097,left_zone,1
187.758,lower_left_interaction,1
188.135,lower_right_interaction,1
188.524,right_zone,1
192.237,upper_right_interaction,1
192.628,upper_left_interaction,1
193.133,left_zone,1
194.527,lower_left_interaction,1
196.232,lower_right_interaction,1
202.963,lower_left_interaction,1
203.47,center,1
229.539,upper_left_interaction,1
232.558,lower_left_interaction,1
233.961,lower_right_interaction,1
245.851,upper_right_interaction,1
257.332,upper_left_interaction,1
258.858,upper_right_interaction,1
259.446,upper_left_interaction,1
260.392,lower_left_interaction,1
261.1,lower_right_interaction,1
265.861,upper_right_interaction,1
266.592,upper_left_interaction,1
268.692,lower_left_interaction,1
273.019,center,1
315.588,upper_left_interaction,1
320.091,upper_right_interaction,1
322.084,right_zone,1
325.111,lower_right_interaction,1
325.659,lower_left_interaction,1
326.494,left_zone,1
327.417,lower_left_interaction,1
327.835,lower_right_interaction,1
328.672,upper_right_interaction,1
331.934,lower_right_interaction,1
334.166,upper_right_interaction,1
334.97,lower_right_interaction,1
341.72,upper_right_interaction,1
343.21,upper_left_interaction,1
349.389,lower_left_interaction,1
350.325,upper_left_interaction,1
354.229,left_zone,1
357.196,upper_left_interaction,1
357.393,lower_left_interaction,1
358.589,lower_right_interaction,1
358.988,upper_right_interaction,1
393.038,upper_left_interaction,1
393.436,lower_left_interaction,1
396.325,lower_right_interaction,1
417.108,lower_left_interaction,1
418.328,upper_left_interaction,1
444.5,upper_right_interaction,1
451.854,lower_right_interaction,1
471.689,lower_left_interaction,1
473.473,upper_left_interaction,1
474.508,left_zone,1
484.25,lower_left_interaction,1
485.642,lower_right_interaction,1
486.542,right_zone,1
487.223,upper_right_interaction,1
494.483,center,1
542.341,upper_left_interaction,1
546.081,upper_right_interaction,1
546.549,lower_right_interaction,1
549.941,lower_left_interaction,1
550.413,left_zone,1
551.971,upper_left_interaction,1
559.327,lower_left_interaction,1
560.9,lower_right_interaction,1
566.994,lower_left_interaction,1
570.869,upper_left_interaction,1
577.789,center,1
581.25,lower_left_interaction,1
582.121,center,1
591.15,upper_left_interaction,1
593.03,center,1
683.895,upper_right_interaction,1
684.561,center,1
695.263,upper_right_interaction,1
696.233,lower_right_interaction,1
700.11,upper_right_interaction,1
722.529,lower_right_interaction,1
723.392,lower_left_interaction,1
726.487,left_zone,1
728.46,upper_left_interaction,1
730.252,upper_right_interaction,1
749.892,upper_left_interaction,1
750.717,center,1
804.328,upper_left_interaction,1
806.233,lower_left_interaction,1
808.579,upper_left_interaction,1
818.45,lower_left_interaction,1
822.318,upper_left_interaction,1
827.973,upper_right_interaction,1
841.109,lower_right_interaction,1
855.656,upper_right_interaction,1
857.117,lower_right_interaction,1
861.404,right_zone,1
866.369,lower_right_interaction,1
868.021,lower_left_interaction,1
868.734,left_zone,1
873.879,upper_left_interaction,1
876.677,lower_left_interaction,1
881.161,lower_right_interaction,1
881.544,right_zone,1
885.191,upper_right_interaction,1
886.238,right_zone,1
891.686,lower_right_interaction,1
892.27,lower_left_interaction,1
892.689,left_zone,1
894.453,upper_left_interaction,1
895.159,upper_right_interaction,1
899.439,END,0
