time,code,class
53.35,right_zone,1
54.736,upper_right_interaction,1
55.775,upper_left_interaction,1
56.282,left_zone,1
57.694,lower_left_interaction,1
58.858,lower_right_interaction,1
59.439,right_zone,1
61.9,upper_right_interaction,1
62.896,upper_left_interaction,1
63.665,left_zone,1
67.023,lower_left_interaction,1
68.144,lower_right_interaction,1
76.476,upper_right_interaction,1
78.651,upper_left_interaction,1
81.152,lower_left_interaction,1
83.83,upper_left_interaction,1
84.912,upper_right_interaction,1
85.857,lower_right_interaction,1
100.057,upper_right_interaction,1
103.474,right_zone,1
105.578,upper_right_interaction,1
107.247,lower_right_interaction,1
108.131,lower_left_interaction,1
109.407,left_zone,1
111.383,upper_left_interaction,1
116.583,upper_right_interaction,1
118.825,right_zone,1
120.826,lower_right_interaction,1
127.2,upper_right_interaction,1
129.896,upper_left_interaction,1
131.316,lower_left_interaction,1
134.36,left_zone,1
135.294,lower_left_interaction,1
137.043,lower_right_interaction,1
141.999,upper_right_interaction,1
142.849,right_zone,1
144.909,upper_right_interaction,1
145.375,upper_left_interaction,1
145.774,left_zone,1
179.831,upper_left_interaction,1
185.584,lower_left_interaction,1
186.886,lower_right_interaction,1
189.62,right_zone,1
192.921,lower_right_interaction,1
194.563,lower_left_interaction,1
195.865,left_zone,1
196.861,upper_left_interaction,1
198.367,upper_right_interaction,1
201.376,upper_left_interaction,1
205.778,center,1
223.525,lower_right_interaction,1
234.474,lower_left_interaction,1
236.021,lower_right_interaction,1
241.509,right_zone,1
244.077,upper_right_interaction,1
255.018,upper_left_interaction,1
256.787,lower_left_interaction,1
258.866,lower_right_interaction,1
268.613,upper_right_interaction,1
273.355,lower_right_interaction,1
283.655,lower_left_interaction,1
291.627,upper_left_interaction,1
291.965,left_zone,1
293.403,upper_left_interaction,1
294.287,lower_left_interaction,1
297.604,upper_left_interaction,1
299.093,center,1
322.989,upper_left_interaction,1
323.551,left_zone,1
328.385,upper_left_interaction,1
329.9,upper_right_interaction,1
334.909,right_zone,1
337.744,lower_right_interaction,1
340.137,upper_right_interaction,1
341.075,upper_left_interaction,1
341.94,left_zone,1
342.617,lower_left_interaction,1
349.896,center,1
355.933,upper_right_interaction,1
357.513,center,1
357.718,upper_left_interaction,1
359.336,upper_right_interaction,1
361.1,right_zone,1
362.842,upper_right_interaction,1
363.56,upper_left_interaction,1
364.289,left_zone,1
370.565,lower_left_interaction,1
380.245,lower_right_interaction,1
391.362,upper_right_interaction,1
391.629,right_zone,1
392.849,upper_right_interaction,1
394.955,upper_left_interaction,1
396.445,center,1
445.924,lower_right_interaction,1
447.946,lower_left_interaction,1
448.427,upper_left_interaction,1
452.15,upper_right_interaction,1
454.581,right_zone,1
458.892,lower_right_interaction,1
461.107,lower_left_interaction,1
463.532,center,1
466.801,upper_left_interaction,1
467.156,left_zone,1
470.161,lower_left_interaction,1
471.456,left_zone,1
474.016,upper_left_interaction,1
476.12,lower_left_interaction,1
481.017,upper_left_interaction,1
481.23,left_zone,1
483.252,lower_left_interaction,1
484.185,lower_right_interaction,1
490.145,lower_left_interaction,1
491.794,lower_right_interaction,1
493.662,upper_right_interaction,1
502.936,lower_right_interaction,1
505.243,upper_right_interaction,1
507.249,lower_right_interaction,1
507.249,right_zone,1
509.682,lower_right_interaction,1
510.166,lower_left_interaction,1
510.411,left_zone,1
514.352,lower_left_interaction,1
515.116,lower_right_interaction,1
518.592,center,1
521.72,lower_left_interaction,1
522.159,left_zone,1
523.235,lower_left_interaction,1
523.648,lower_right_interaction,1
525.96,right_zone,1
528.46,upper_right_interaction,1
530.266,right_zone,1
536.183,upper_right_interaction,1
536.732,upper_left_interaction,1
537.081,left_zone,1
543.079,lower_left_interaction,1
544.877,lower_right_interaction,1
550.85,lower_left_interaction,1
556.936,center,1
566.66,lower_left_interaction,1
569.486,center,1
585.141,lower_right_interaction,1
586.987,upper_right_interaction,1
588.648,upper_left_interaction,1
590.353,center,1
593.399,lower_left_interaction,1
594.756,center,1
597.865,lower_right_interaction,1
598.474,lower_left_interaction,1
599.374,left_zone,1
602.766,upper_left_interaction,1
603.668,upper_right_interaction,1
604.337,upper_left_interaction,1
604.386,left_zone,1
613.206,lower_left_interaction,1
619.365,lower_right_interaction,1
635.816,upper_right_interaction,1
637.026,upper_left_interaction,1
638.831,upper_right_interaction,1
675.914,upper_left_interaction,1
678.49,lower_left_interaction,1
680.009,lower_right_interaction,1
680.65,upper_right_interaction,1
685.321,upper_left_interaction,1
685.782,lower_left_interaction,1
686.773,lower_right_interaction,1
692.463,upper_right_interaction,1
696.075,upper_left_interaction,1
696.277,lower_left_interaction,1
697.268,lower_right_interaction,1
699.869,lower_left_interaction,1
705.647,lower_right_interaction,1
706.949,lower_left_interaction,1
717.238,lower_right_interaction,1
719.098,upper_right_interaction,1
726.471,right_zone,1
734.061,upper_right_interaction,1
735.353,center,1
739.912,upper_left_interaction,1
745.709,lower_left_interaction,1
746.72,lower_right_interaction,1
757.598,center,1
812.305,lower_left_interaction,1
814.966,center,1
871.032,lower_left_interaction,1
873.239,center,1
874.44,END,0
