time,code,class
37.209,left_zone,1
39.011,lower_left_interaction,1
41.78,lower_right_interaction,1
42.832,right_zone,1
46.619,lower_right_interaction,1
50.227,lower_left_interaction,1
55.93,upper_left_interaction,1
57.626,upper_right_interaction,1
64.534,lower_right_interaction,1
67.364,lower_left_interaction,1
67.896,left_zone,1
70.101,upper_left_interaction,1
74.721,upper_right_interaction,1
78.282,lower_right_interaction,1
79.117,right_zone,1
81.609,lower_right_interaction,1
86.895,lower_left_interaction,1
93.664,upper_left_interaction,1
101.808,upper_right_interaction,1
103.006,right_zone,1
106.304,lower_right_interaction,1
107.281,upper_right_interaction,1
110.174,lower_right_interaction,1
112.08,upper_right_interaction,1
112.951,upper_left_interaction,1
122.316,lower_left_interaction,1
128.933,upper_left_interaction,1
142.881,lower_left_interaction,1
146.603,lower_right_interaction,1
147.418,upper_right_interaction,1
152.219,upper_left_interaction,1
152.729,lower_left_interaction,1
156.189,lower_right_interaction,1
159.825,right_zone,1
161.331,upper_right_interaction,1
166.765,lower_right_interaction,1
169.903,lower_left_interaction,1
175.679,upper_left_interaction,1
209.905,upper_right_interaction,1
211.822,lower_right_interaction,1
213.676,lower_left_interaction,1
214.986,left_zone,1
216.631,upper_left_interaction,1
217.045,upper_right_interaction,1
219.944,lower_right_interaction,1
220.487,lower_left_interaction,1
225.962,upper_left_interaction,1
230.003,lower_left_interaction,1
233.133,lower_right_interaction,1
234.837,center,1
246.737,upper_right_interaction,1
247.904,upper_left_interaction,1
262.023,lower_left_interaction,1
262.97,lower_right_interaction,1
265.421,right_zone,1
270.784,upper_right_interaction,1
271.479,upper_left_interaction,1
273.269,left_zone,1
277.051,lower_left_interaction,1
279.58,lower_right_interaction,1
280.292,upper_right_interaction,1
282.455,upper_left_interaction,1
289.441,lower_left_interaction,1
291.511,lower_right_interaction,1
292.457,center,1
304.926,lower_left_interaction,1
305.361,upper_left_interaction,1
308.362,upper_right_interaction,1
309.435,upper_left_interaction,1
309.706,upper_right_interaction,1
310.285,lower_right_interaction,1
311.33,lower_left_interaction,1
314.473,upper_left_interaction,1
320.549,upper_right_interaction,1
325.298,lower_right_interaction,1
327.595,lower_left_interaction,1
328.128,left_zone,1
332.358,upper_left_interaction,1
333.832,lower_left_interaction,1
335.988,lower_right_interaction,1
340.639,upper_right_interaction,1
346.748,upper_left_interaction,1
349.282,upper_right_interaction,1
351.577,center,1
368.196,lower_right_interaction,1
370.244,center,1
371.086,lower_left_interaction,1
374.41,lower_right_interaction,1
375.314,right_zone,1
376.477,upper_right_interaction,1
377.7,upper_left_interaction,1
379.781,upper_right_interaction,1
380.116,right_zone,1
383.124,lower_right_interaction,1
391.005,lower_left_interaction,1
391.849,left_zone,1
396.769,upper_left_interaction,1
398.472,upper_right_interaction,1
400.279,lower_right_interaction,1
401.879,center,1
409.967,lower_left_interaction,1
410.544,center,1
415.512,upper_right_interaction,1
416.016,upper_left_interaction,1
420.914,upper_right_interaction,1
421.326,lower_right_interaction,1
425.431,lower_left_interaction,1
432.964,lower_right_interaction,1
435.664,right_zone,1
436.799,upper_right_interaction,1
437.312,right_zone,1
443.481,upper_right_interaction,1
444.751,upper_left_interaction,1
445.143,left_zone,1
446.753,upper_left_interaction,1
446.753,upper_right_interaction,1
494.795,upper_left_interaction,1
495.786,lower_left_interaction,1
496.277,lower_right_interaction,1
500.023,right_zone,1
502.945,lower_right_interaction,1
503.565,lower_left_interaction,1
514.645,lower_right_interaction,1
515.115,right_zone,1
519.373,upper_right_interaction,1
521.322,center,1
539.471,upper_left_interaction,1
551.716,upper_right_interaction,1
560.326,lower_right_interaction,1
576.815,lower_left_interaction,1
583.547,left_zone,1
586.864,lower_left_interaction,1
590.181,left_zone,1
592.302,lower_left_interaction,1
602.307,upper_left_interaction,1
602.578,upper_right_interaction,1
606.395,lower_right_interaction,1
609.679,lower_left_interaction,1
611.437,center,1
616.546,lower_left_interaction,1
629.562,center,1
637.172,lower_left_interaction,1
638.742,center,1
643.009,upper_right_interaction,1
645.643,lower_right_interaction,1
648.242,lower_left_interaction,1
648.706,left_zone,1
651.35,lower_left_interaction,1
652.389,center,1
688.372,lower_left_interaction,1
688.79,upper_left_interaction,1
711.534,center,1
721.521,upper_left_interaction,1
728.364,center,1
729.488,lower_left_interaction,1
731.726,lower_right_interaction,1
732.335,right_zone,1
733.547,upper_right_interaction,1
735.843,upper_left_interaction,1
737.844,left_zone,1
741.75,lower_left_interaction,1
743.456,center,1
753.642,upper_left_interaction,1
760.182,center,1
764.77,upper_left_interaction,1
768.313,center,1
771.443,upper_left_interaction,1
773.73,center,1
779.227,upper_left_interaction,1
781.281,upper_right_interaction,1
783.32,right_zone,1
785.627,lower_right_interaction,1
793.959,lower_left_interaction,1
794.529,left_zone,1
800.072,upper_left_interaction,1
804.931,lower_left_interaction,1
807,center,1
811.485,upper_right_interaction,1
814.813,upper_left_interaction,1
816.617,center,1
818.156,upper_left_interaction,1
820.42,center,1
824.365,upper_right_interaction,1
828.812,lower_right_interaction,1
833.181,lower_left_interaction,1
840.8,upper_left_interaction,1
842.72,upper_right_interaction,1
847.057,lower_right_interaction,1
847.349,right_zone,1
854.789,lower_right_interaction,1
855.994,center,1
869.246,lower_right_interaction,1
874.623,center,1
875.87,lower_left_interaction,1
877.608,center,1
880.71,upper_left_interaction,1
884.45,END,0
