time,code,class
38.682,left_zone,1
39.148,lower_left_interaction,1
41.174,upper_left_interaction,1
44.716,upper_right_interaction,1
45.404,right_zone,1
47.021,lower_right_interaction,1
48.114,lower_left_interaction,1
48.794,left_zone,1
50.113,upper_left_interaction,1
52.38,upper_right_interaction,1
53.426,right_zone,1
55.023,lower_right_interaction,1
55.532,lower_left_interaction,1
56.065,left_zone,1
59.992,upper_left_interaction,1
60.559,upper_right_interaction,1
62.666,right_zone,1
65.003,lower_right_interaction,1
66.669,upper_right_interaction,1
68.847,upper_left_interaction,1
70.429,left_zone,1
73.606,lower_left_interaction,1
76.209,upper_left_interaction,1
80.161,upper_right_interaction,1
84.619,upper_left_interaction,1
85.121,lower_left_interaction,1
88.145,upper_left_interaction,1
88.632,upper_right_interaction,1
92.106,lower_right_interaction,1
94.3,upper_right_interaction,1
95.409,upper_left_interaction,1
99.665,lower_left_interaction,1
101.708,left_zone,1
106.378,upper_left_interaction,1
109.269,upper_right_interaction,1
116.243,upper_left_interaction,1
123.457,upper_right_interaction,1
124.326,lower_right_interaction,1
128.161,lower_left_interaction,1
128.954,upper_left_interaction,1
132.071,upper_right_interaction,1
132.74,right_zone,1
135.237,lower_right_interaction,1
136.594,lower_left_interaction,1
138.066,left_zone,1
139.441,upper_left_interaction,1
148.958,lower_left_interaction,1
154.911,upper_left_interaction,1
163.937,upper_right_interaction,1
167.906,upper_left_interaction,1
169.347,center,1
191.261,upper_left_interaction,1
193.03,lower_left_interaction,1
194.998,lower_right_interaction,1
195.564,upper_right_interaction,1
197.633,upper_left_interaction,1
213.991,upper_right_interaction,1
216.264,upper_left_interaction,1
222.245,upper_right_interaction,1
240.544,upper_left_interaction,1
243.237,lower_left_interaction,1
255.28,lower_right_interaction,1
256.621,upper_right_interaction,1
261.004,center,1
338.588,upper_left_interaction,1
347.006,center,1
353.624,upper_right_interaction,1
357.658,right_zone,1
361.671,lower_right_interaction,1
387.161,upper_right_interaction,1
437.884,center,1
482.934,upper_right_interaction,1
485.124,upper_left_interaction,1
485.562,left_zone,1
488.767,lower_left_interaction,1
494.172,lower_right_interaction,1
496.196,right_zone,1
500.595,upper_right_interaction,1
505.417,lower_right_interaction,1
510.051,lower_left_interaction,1
510.496,left_zone,1
514.047,upper_left_interaction,1
519.728,upper_right_interaction,1
529.471,upper_left_interaction,1
549.493,center,1
842.786,END,0
