time,code,class
29.597,left_zone,1
47.279,lower_left_interaction,1
49.583,upper_left_interaction,1
51.618,upper_right_interaction,1
53.921,right_zone,1
55.455,lower_right_interaction,1
56.752,lower_left_interaction,1
61.094,upper_left_interaction,1
63.397,upper_right_interaction,1
65.966,right_zone,1
66.97,upper_right_interaction,1
74.14,upper_left_interaction,1
81.582,lower_left_interaction,1
90.791,upper_left_interaction,1
93.094,lower_left_interaction,1
93.86,left_zone,1
95.396,upper_left_interaction,1
97.198,upper_right_interaction,1
100.767,right_zone,1
103.336,lower_right_interaction,1
107.173,lower_left_interaction,1
111.515,lower_right_interaction,1
117.68,lower_left_interaction,1
119.984,lower_right_interaction,1
122.022,lower_left_interaction,1
124.828,upper_left_interaction,1
129.195,upper_right_interaction,1
131.231,upper_left_interaction,1
132.766,upper_right_interaction,1
134.568,lower_right_interaction,1
140.206,lower_left_interaction,1
145.312,left_zone,1
150.951,lower_left_interaction,1
153.519,lower_right_interaction,1
154.288,right_zone,1
156.324,upper_right_interaction,1
162.223,upper_left_interaction,1
167.334,lower_left_interaction,1
168.868,lower_right_interaction,1
174.746,upper_right_interaction,1
180.647,upper_left_interaction,1
182.447,lower_left_interaction,1
191.9,left_zone,1
193.455,lower_left_interaction,1
206.239,upper_left_interaction,1
213.915,lower_left_interaction,1
214.95,lower_right_interaction,1
216.751,lower_left_interaction,1
227.76,left_zone,1
228.762,lower_left_interaction,1
234.907,lower_right_interaction,1
236.443,upper_right_interaction,1
239.273,upper_left_interaction,1
241.84,upper_right_interaction,1
243.61,upper_left_interaction,1
246.447,lower_left_interaction,1
255.655,lower_right_interaction,1
257.191,lower_left_interaction,1
273.306,lower_right_interaction,1
276.378,upper_right_interaction,1
277.914,upper_left_interaction,1
285.616,lower_left_interaction,1
286.619,upper_left_interaction,1
288.155,lower_left_interaction,1
292.258,upper_left_interaction,1
294.828,upper_right_interaction,1
297.391,lower_right_interaction,1
299.432,lower_left_interaction,1
300.701,upper_left_interaction,1
302.502,lower_left_interaction,1
303.27,upper_left_interaction,1
307.374,upper_right_interaction,1
308.909,center,1
338.606,upper_right_interaction,1
342.943,upper_left_interaction,1
345.008,lower_left_interaction,1
346.012,lower_right_interaction,1
351.151,lower_left_interaction,1
355.489,left_zone,1
363.164,upper_left_interaction,1
365.232,upper_right_interaction,1
370.075,right_zone,1
372.379,lower_right_interaction,1
372.906,right_zone,1
373.936,upper_right_interaction,1
378.779,upper_left_interaction,1
382.883,lower_left_interaction,1
384.154,center,1
429.229,upper_right_interaction,1
430.496,upper_left_interaction,1
434.335,lower_left_interaction,1
436.4,lower_right_interaction,1
440.474,right_zone,1
457.891,lower_right_interaction,1
471.708,lower_left_interaction,1
495.023,upper_left_interaction,1
496.297,upper_right_interaction,1
498.332,upper_left_interaction,1
500.634,lower_left_interaction,1
515.483,left_zone,1
518.818,lower_left_interaction,1
523.69,left_zone,1
525.992,lower_left_interaction,1
535.706,upper_left_interaction,1
537.504,upper_right_interaction,1
540.574,right_zone,1
542.639,lower_right_interaction,1
544.176,lower_left_interaction,1
546.212,lower_right_interaction,1
550.049,lower_left_interaction,1
566.939,upper_left_interaction,1
572.071,left_zone,1
579.747,lower_left_interaction,1
582.816,lower_right_interaction,1
583.851,lower_left_interaction,1
587.184,lower_right_interaction,1
587.952,lower_left_interaction,1
588.72,upper_left_interaction,1
589.723,upper_right_interaction,1
597.664,lower_right_interaction,1
598.192,lower_left_interaction,1
598.432,left_zone,1
604.837,lower_left_interaction,1
609.178,lower_right_interaction,1
610.714,center,1
691.119,upper_right_interaction,1
692.391,upper_left_interaction,1
693.159,left_zone,1
696.229,upper_left_interaction,1
698.03,lower_left_interaction,1
719.519,lower_right_interaction,1
720.286,lower_left_interaction,1
730.53,upper_left_interaction,1
734.635,upper_right_interaction,1
735.664,right_zone,1
739.238,lower_right_interaction,1
744.611,right_zone,1
745.645,upper_right_interaction,1
751.518,upper_left_interaction,1
752.285,left_zone,1
756.89,lower_left_interaction,1
759.725,lower_right_interaction,1
760.993,lower_left_interaction,1
761.499,left_zone,1
766.127,lower_left_interaction,1
768.167,upper_left_interaction,1
780.447,lower_left_interaction,1
795.294,lower_right_interaction,1
798.631,lower_left_interaction,1
810.672,lower_left_interaction,1
812.207,upper_left_interaction,1
814.512,left_zone,1
817.583,lower_left_interaction,1
870.57,upper_left_interaction,1
880.813,upper_right_interaction,1
890.79,lower_right_interaction,1
895.661,upper_right_interaction,1
900.267,lower_left_interaction,1
901.534,upper_left_interaction,1
904.103,left_zone,1
907.439,upper_left_interaction,1
909.979,upper_right_interaction,1
912.546,lower_right_interaction,1
914.08,right_zone,1
916.911,lower_right_interaction,1
930.496,END,0
