time,code,class
25.827,left_zone,1
26.093,lower_left_interaction,1
27.099,upper_left_interaction,1
28.395,upper_right_interaction,1
30.191,lower_right_interaction,1
31.727,right_zone,1
35.568,upper_right_interaction,1
39.139,upper_left_interaction,1
40.941,left_zone,1
41.709,upper_left_interaction,1
42.477,lower_left_interaction,1
44.271,upper_left_interaction,1
45.545,upper_right_interaction,1
47.343,upper_left_interaction,1
47.581,upper_right_interaction,1
48.879,right_zone,1
49.884,upper_right_interaction,1
50.917,lower_right_interaction,1
51.952,upper_right_interaction,1
61.661,right_zone,1
70.874,lower_right_interaction,1
71.906,lower_left_interaction,1
72.411,left_zone,1
74.715,upper_left_interaction,1
77.545,upper_right_interaction,1
80.112,lower_right_interaction,1
83.419,upper_right_interaction,1
90.59,lower_right_interaction,1
92.656,right_zone,1
93.424,upper_right_interaction,1
95.462,upper_left_interaction,1
95.962,left_zone,1
97.498,lower_left_interaction,1
99.299,lower_right_interaction,1
101.601,lower_left_interaction,1
103.136,upper_left_interaction,1
104.17,upper_right_interaction,1
109.807,right_zone,1
111.578,lower_right_interaction,1
112.112,lower_left_interaction,1
112.88,left_zone,1
116.188,upper_left_interaction,1
120.555,upper_right_interaction,1
124.359,upper_left_interaction,1
129.096,lower_left_interaction,1
129.363,lower_right_interaction,1
129.864,upper_right_interaction,1
143.778,upper_left_interaction,1
144.545,lower_left_interaction,1
145.051,lower_right_interaction,1
146.847,upper_right_interaction,1
150.183,upper_left_interaction,1
151.984,upper_right_interaction,1
152.987,upper_left_interaction,1
155.055,lower_left_interaction,1
156.827,upper_left_interaction,1
158.362,lower_left_interaction,1
159.132,lower_right_interaction,1
159.659,upper_right_interaction,1
169.903,upper_left_interaction,1
170.67,lower_left_interaction,1
171.171,lower_right_interaction,1
171.674,upper_right_interaction,1
181.68,upper_left_interaction,1
183.983,center,1
205.473,upper_left_interaction,1
205.74,lower_left_interaction,1
206.239,lower_right_interaction,1
207.273,upper_right_interaction,1
208.304,upper_left_interaction,1
211.112,center,1
236.464,lower_left_interaction,1
236.703,lower_right_interaction,1
238.768,upper_right_interaction,1
242.342,upper_left_interaction,1
242.843,lower_left_interaction,1
244.645,left_zone,1
244.911,lower_left_interaction,1
245.413,lower_right_interaction,1
247.714,upper_right_interaction,1
249.517,right_zone,1
259.759,lower_right_interaction,1
260.763,lower_left_interaction,1
261.531,upper_left_interaction,1
262.298,upper_right_interaction,1
264.865,lower_right_interaction,1
266.399,center,1
288.421,upper_left_interaction,1
288.688,left_zone,1
288.922,lower_left_interaction,1
289.956,lower_right_interaction,1
290.458,upper_right_interaction,1
294.561,upper_left_interaction,1
295.329,upper_right_interaction,1
299.934,upper_left_interaction,1
300.463,lower_left_interaction,1
301.232,center,1
312.746,upper_right_interaction,1
315.548,lower_right_interaction,1
316.316,right_zone,1
316.847,upper_right_interaction,1
337.308,upper_left_interaction,1
339.373,center,1
348.079,upper_left_interaction,1
349.349,left_zone,1
350.383,upper_left_interaction,1
351.151,upper_right_interaction,1
351.918,right_zone,1
352.922,lower_right_interaction,1
354.22,center,1
367.535,lower_left_interaction,1
367.535,lower_right_interaction,1
368.302,upper_right_interaction,1
374.704,upper_left_interaction,1
375.471,upper_right_interaction,1
377.776,upper_left_interaction,1
378.279,lower_left_interaction,1
378.778,lower_right_interaction,1
379.311,upper_right_interaction,1
382.382,upper_left_interaction,1
383.15,lower_left_interaction,1
383.65,center,1
390.057,upper_right_interaction,1
409.51,lower_right_interaction,1
412.078,upper_right_interaction,1
415.148,upper_left_interaction,1
415.915,lower_left_interaction,1
416.155,lower_right_interaction,1
417.952,upper_right_interaction,1
420.015,upper_left_interaction,1
423.087,lower_left_interaction,1
423.323,lower_right_interaction,1
424.09,right_zone,1
424.623,upper_right_interaction,1
435.87,lower_right_interaction,1
436.135,lower_left_interaction,1
436.636,upper_left_interaction,1
438.438,upper_right_interaction,1
441.508,center,1
444.314,lower_right_interaction,1
444.844,upper_right_interaction,1
448.156,upper_left_interaction,1
453.786,lower_left_interaction,1
454.554,center,1
467.367,upper_left_interaction,1
467.867,left_zone,1
468.635,lower_left_interaction,1
469.671,center,1
476.576,upper_right_interaction,1
480.176,upper_left_interaction,1
480.944,lower_left_interaction,1
481.711,center,1
483.248,upper_right_interaction,1
489.39,upper_left_interaction,1
489.889,lower_left_interaction,1
490.156,lower_right_interaction,1
490.924,center,1
505.773,lower_right_interaction,1
506.011,upper_right_interaction,1
506.778,upper_left_interaction,1
508.074,upper_right_interaction,1
508.841,upper_left_interaction,1
509.342,lower_left_interaction,1
509.871,center,1
519.852,upper_right_interaction,1
532.634,upper_left_interaction,1
533.402,lower_left_interaction,1
534.434,center,1
537.003,upper_right_interaction,1
548.782,center,1
554.416,upper_right_interaction,1
556.719,center,1
571.91,upper_left_interaction,1
572.439,left_zone,1
586.758,lower_left_interaction,1
588.823,upper_left_interaction,1
589.85,upper_right_interaction,1
591.124,right_zone,1
594.459,lower_right_interaction,1
594.961,lower_left_interaction,1
595.226,left_zone,1
596.229,upper_left_interaction,1
596.997,upper_right_interaction,1
597.765,right_zone,1
604.699,upper_right_interaction,1
605.705,upper_left_interaction,1
607.24,center,1
613.382,upper_right_interaction,1
630.797,center,1
643.611,lower_right_interaction,1
644.11,upper_right_interaction,1
645.645,center,1
647.447,lower_left_interaction,1
647.948,left_zone,1
649.482,upper_left_interaction,1
650.517,center,1
655.386,upper_right_interaction,1
655.89,upper_left_interaction,1
658.458,upper_right_interaction,1
662.296,upper_left_interaction,1
662.796,lower_left_interaction,1
664.33,lower_right_interaction,1
665.365,upper_right_interaction,1
670.47,upper_left_interaction,1
671.504,center,1
683.547,upper_left_interaction,1
684.05,upper_right_interaction,1
689.157,upper_left_interaction,1
689.925,lower_left_interaction,1
695.061,lower_right_interaction,1
695.302,upper_right_interaction,1
695.829,upper_left_interaction,1
696.33,center,1
711.445,upper_left_interaction,1
711.706,lower_left_interaction,1
712.213,lower_right_interaction,1
712.474,right_zone,1
714.01,upper_right_interaction,1
714.779,center,1
720.389,lower_left_interaction,1
720.654,left_zone,1
723.224,upper_left_interaction,1
724.251,lower_left_interaction,1
724.757,left_zone,1
725.525,lower_left_interaction,1
726.793,center,1
730.129,upper_left_interaction,1
731.162,left_zone,1
733.701,lower_left_interaction,1
734.735,center,1
