time,code,class
39.94,lower_right_interaction,1
41.112,upper_right_interaction,1
42.684,upper_left_interaction,1
43.657,lower_left_interaction,1
45.342,lower_right_interaction,1
46.272,right_zone,1
48.076,upper_right_interaction,1
50.914,lower_right_interaction,1
52.35,upper_right_interaction,1
52.586,lower_right_interaction,1
56.201,lower_left_interaction,1
56.699,left_zone,1
58.517,upper_left_interaction,1
64.337,upper_right_interaction,1
65.007,lower_right_interaction,1
67.296,lower_left_interaction,1
71.578,upper_left_interaction,1
73.306,upper_right_interaction,1
80.157,lower_right_interaction,1
89.252,lower_left_interaction,1
90.161,upper_left_interaction,1
92.769,upper_right_interaction,1
93.525,right_zone,1
96.536,lower_right_interaction,1
97.236,lower_left_interaction,1
97.842,left_zone,1
101.146,upper_left_interaction,1
111.952,upper_right_interaction,1
115.522,lower_right_interaction,1
117.601,lower_left_interaction,1
119.121,lower_right_interaction,1
121.858,lower_left_interaction,1
122.266,upper_left_interaction,1
125.196,upper_right_interaction,1
125.785,lower_right_interaction,1
129.234,upper_right_interaction,1
130.128,lower_right_interaction,1
131.729,lower_left_interaction,1
134.44,lower_right_interaction,1
135.812,upper_right_interaction,1
138.8,lower_right_interaction,1
139.32,lower_left_interaction,1
140.658,upper_left_interaction,1
158.89,lower_left_interaction,1
161.358,upper_left_interaction,1
164.133,upper_right_interaction,1
164.766,lower_right_interaction,1
168.232,lower_left_interaction,1
169.307,upper_left_interaction,1
173.205,upper_right_interaction,1
180.15,lower_right_interaction,1
190.252,upper_right_interaction,1
192.72,upper_left_interaction,1
194.691,lower_left_interaction,1
198.291,lower_right_interaction,1
204.408,right_zone,1
205.771,upper_right_interaction,1
214.155,lower_right_interaction,1
215.272,lower_left_interaction,1
217.154,upper_left_interaction,1
240.243,upper_right_interaction,1
253.12,lower_right_interaction,1
253.578,right_zone,1
255.99,lower_right_interaction,1
258.215,upper_right_interaction,1
260.393,upper_left_interaction,1
261.331,lower_left_interaction,1
266.114,lower_right_interaction,1
298.325,lower_left_interaction,1
337.941,upper_left_interaction,1
501.747,upper_right_interaction,1
502.967,right_zone,1
503.712,lower_right_interaction,1
511.578,upper_right_interaction,1
520.029,lower_right_interaction,1
530.575,lower_left_interaction,1
531.571,upper_left_interaction,1
541.142,lower_left_interaction,1
547.543,upper_left_interaction,1
553.457,upper_right_interaction,1
556.808,lower_right_interaction,1
607.537,upper_right_interaction,1
616.639,lower_right_interaction,1
619.082,lower_left_interaction,1
619.697,left_zone,1
625.652,upper_left_interaction,1
641.416,lower_left_interaction,1
641.416,lower_left_interaction,1
643.478,center,1
687.416,upper_right_interaction,1
689.228,center,1
690.991,upper_left_interaction,1
691.896,lower_left_interaction,1
700.98,upper_left_interaction,1
707.482,upper_right_interaction,1
707.948,right_zone,1
710.811,lower_right_interaction,1
715.577,lower_left_interaction,1
716.084,left_zone,1
719.179,upper_left_interaction,1
721.798,lower_left_interaction,1
722.728,center,1
903.469,END,0
