time,code,class
33.498,left_zone,1
35.803,lower_left_interaction,1
37.071,lower_right_interaction,1
37.574,right_zone,1
38.872,upper_right_interaction,1
39.641,upper_left_interaction,1
40.141,left_zone,1
40.909,lower_left_interaction,1
41.942,lower_right_interaction,1
42.442,right_zone,1
47.047,lower_right_interaction,1
48.081,upper_right_interaction,1
57.801,right_zone,1
58.586,lower_right_interaction,1
60.123,lower_left_interaction,1
60.627,left_zone,1
72.911,lower_left_interaction,1
74.442,upper_left_interaction,1
75.976,upper_right_interaction,1
81.35,right_zone,1
83.917,lower_right_interaction,1
92.359,lower_left_interaction,1
97.998,left_zone,1
99.533,upper_left_interaction,1
103.11,lower_left_interaction,1
105.672,lower_right_interaction,1
106.97,upper_right_interaction,1
116.183,lower_right_interaction,1
117.19,right_zone,1
121.555,upper_right_interaction,1
136.137,upper_left_interaction,1
137.171,upper_right_interaction,1
144.345,right_zone,1
144.845,lower_right_interaction,1
147.414,upper_right_interaction,1
152.52,upper_left_interaction,1
153.818,lower_left_interaction,1
158.426,lower_right_interaction,1
160.198,right_zone,1
179.675,lower_right_interaction,1
181.979,upper_right_interaction,1
202.203,lower_right_interaction,1
204.27,lower_left_interaction,1
205.539,left_zone,1
207.841,upper_left_interaction,1
210.91,upper_right_interaction,1
211.678,right_zone,1
212.975,lower_right_interaction,1
216.284,lower_left_interaction,1
220.891,upper_left_interaction,1
223.195,upper_right_interaction,1
236.036,upper_left_interaction,1
239.348,lower_left_interaction,1
241.141,lower_right_interaction,1
242.676,upper_right_interaction,1
256.262,center,1
290.587,lower_right_interaction,1
291.592,upper_right_interaction,1
298.265,upper_left_interaction,1
300.301,lower_left_interaction,1
301.835,lower_right_interaction,1
302.869,center,1
310.545,upper_right_interaction,1
317.958,lower_right_interaction,1
319.754,lower_left_interaction,1
320.787,center,1
346.647,lower_right_interaction,1
347.147,upper_right_interaction,1
348.949,upper_left_interaction,1
349.716,left_zone,1
353.553,lower_left_interaction,1
355.355,left_zone,1
358.661,upper_left_interaction,1
363.27,lower_left_interaction,1
365.066,lower_right_interaction,1
366.867,upper_right_interaction,1
368.902,center,1
398.098,lower_right_interaction,1
398.598,upper_right_interaction,1
400.4,upper_left_interaction,1
402.437,upper_right_interaction,1
407.841,upper_left_interaction,1
409.883,lower_left_interaction,1
410.672,upper_left_interaction,1
412.207,upper_right_interaction,1
413.981,right_zone,1
415.782,lower_right_interaction,1
416.549,lower_left_interaction,1
417.819,lower_right_interaction,1
422.689,lower_left_interaction,1
426.793,left_zone,1
435.739,upper_left_interaction,1
437.036,center,1
471.839,lower_left_interaction,1
472.873,upper_left_interaction,1
473.904,left_zone,1
475.942,lower_left_interaction,1
476.71,lower_right_interaction,1
477.478,right_zone,1
480.546,upper_right_interaction,1
482.849,upper_left_interaction,1
483.883,upper_right_interaction,1
488.221,center,1
525.596,lower_right_interaction,1
527.132,upper_right_interaction,1
529.435,upper_left_interaction,1
530.203,left_zone,1
571.675,lower_left_interaction,1
572.206,lower_right_interaction,1
577.577,center,1
599.333,lower_left_interaction,1
602.139,upper_left_interaction,1
609.072,upper_right_interaction,1
629.028,upper_left_interaction,1
639.006,lower_left_interaction,1
639.772,left_zone,1
641.071,lower_left_interaction,1
641.839,left_zone,1
650.016,upper_left_interaction,1
650.544,lower_left_interaction,1
651.819,lower_right_interaction,1
652.585,right_zone,1
658.992,upper_right_interaction,1
664.097,upper_left_interaction,1
665.131,left_zone,1
680.219,upper_left_interaction,1
682.281,lower_left_interaction,1
689.69,lower_right_interaction,1
692.764,upper_right_interaction,1
708.378,upper_left_interaction,1
710.683,upper_right_interaction,1
731.164,upper_left_interaction,1
734,left_zone,1
747.546,lower_left_interaction,1
754.188,center,1
766.233,lower_right_interaction,1
767.238,lower_left_interaction,1
769.303,lower_right_interaction,1
775.471,right_zone,1
784.684,lower_right_interaction,1
789.789,center,1
796.699,upper_left_interaction,1
797.466,upper_right_interaction,1
814.38,upper_left_interaction,1
820.016,lower_left_interaction,1
820.253,left_zone,1
824.858,lower_left_interaction,1
833.566,center,1
843.547,lower_right_interaction,1
844.076,lower_left_interaction,1
845.083,left_zone,1
850.479,upper_left_interaction,1
853.786,lower_left_interaction,1
856.859,lower_right_interaction,1
857.891,right_zone,1
872.006,upper_right_interaction,1
874.808,upper_left_interaction,1
876.849,left_zone,1
890.161,upper_left_interaction,1
892.225,center,1
899.899,upper_right_interaction,1
911.679,lower_right_interaction,1
921.621,lower_left_interaction,1
929.295,upper_left_interaction,1
932.869,upper_right_interaction,1
940.039,upper_left_interaction,1
940.807,center,1
953.114,lower_right_interaction,1
953.352,lower_left_interaction,1
978.044,END,0
