time,code,class
37.12,left_zone,1
39.237,lower_left_interaction,1
39.74,lower_right_interaction,1
41.009,right_zone,1
43.313,upper_right_interaction,1
43.844,upper_left_interaction,1
44.346,left_zone,1
45.616,lower_left_interaction,1
46.915,lower_right_interaction,1
47.414,right_zone,1
50.484,upper_right_interaction,1
51.519,upper_left_interaction,1
51.782,left_zone,1
54.321,upper_left_interaction,1
57.658,upper_right_interaction,1
61.233,lower_right_interaction,1
63.797,upper_right_interaction,1
67.398,lower_right_interaction,1
67.902,right_zone,1
68.67,lower_right_interaction,1
69.17,lower_left_interaction,1
69.701,left_zone,1
73.776,upper_left_interaction,1
77.111,upper_right_interaction,1
78.914,right_zone,1
81.215,lower_right_interaction,1
82.245,lower_left_interaction,1
83.517,left_zone,1
87.089,upper_left_interaction,1
88.122,upper_right_interaction,1
89.157,right_zone,1
103.237,lower_right_interaction,1
104.772,lower_left_interaction,1
107.841,upper_left_interaction,1
110.145,upper_right_interaction,1
113.215,lower_right_interaction,1
115.014,lower_left_interaction,1
116.283,upper_left_interaction,1
118.085,upper_right_interaction,1
125.759,upper_left_interaction,1
127.027,lower_left_interaction,1
128.326,lower_right_interaction,1
130.629,upper_right_interaction,1
133.435,upper_left_interaction,1
134.969,lower_left_interaction,1
138.806,upper_left_interaction,1
143.41,upper_right_interaction,1
148.015,lower_right_interaction,1
151.857,lower_left_interaction,1
153.654,left_zone,1
166.968,lower_left_interaction,1
172.101,lower_right_interaction,1
173.107,right_zone,1
178.746,upper_right_interaction,1
183.089,upper_left_interaction,1
183.617,left_zone,1
193.861,upper_left_interaction,1
197.698,upper_right_interaction,1
202.303,upper_left_interaction,1
203.837,left_zone,1
205.105,lower_left_interaction,1
207.408,upper_left_interaction,1
208.944,lower_left_interaction,1
211.512,lower_right_interaction,1
214.342,upper_right_interaction,1
223.024,lower_right_interaction,1
224.058,lower_left_interaction,1
230.197,upper_left_interaction,1
232,upper_right_interaction,1
234.034,upper_left_interaction,1
234.802,upper_right_interaction,1
239.941,upper_left_interaction,1
241.711,left_zone,1
326.363,lower_left_interaction,1
329.938,lower_right_interaction,1
344.017,lower_left_interaction,1
346.323,left_zone,1
462.269,upper_left_interaction,1
464.275,upper_right_interaction,1
465.603,lower_right_interaction,1
467.945,upper_right_interaction,1
473.277,right_zone,1
474.945,upper_right_interaction,1
476.284,upper_left_interaction,1
477.288,left_zone,1
480.296,lower_left_interaction,1
483.966,upper_left_interaction,1
485.289,upper_right_interaction,1
490.627,upper_left_interaction,1
491.303,upper_right_interaction,1
492.63,lower_right_interaction,1
494.298,lower_left_interaction,1
495.298,lower_right_interaction,1
496.3,lower_left_interaction,1
497.969,left_zone,1
502.31,upper_left_interaction,1
504.642,left_zone,1
506.321,lower_left_interaction,1
507.985,lower_right_interaction,1
508.648,right_zone,1
517.331,upper_right_interaction,1
518.995,lower_right_interaction,1
519.997,upper_right_interaction,1
525.997,upper_left_interaction,1
527.335,upper_right_interaction,1
529,upper_left_interaction,1
533.011,left_zone,1
536.339,lower_left_interaction,1
537.34,lower_right_interaction,1
538.008,right_zone,1
546.35,lower_right_interaction,1
548.351,lower_left_interaction,1
552.701,lower_right_interaction,1
553.362,upper_right_interaction,1
567.036,lower_right_interaction,1
568.038,upper_right_interaction,1
570.044,lower_right_interaction,1
571.376,lower_left_interaction,1
573.378,upper_left_interaction,1
574.378,upper_right_interaction,1
576.722,lower_right_interaction,1
580.392,lower_left_interaction,1
583.059,left_zone,1
585.063,upper_left_interaction,1
585.725,left_zone,1
590.061,upper_left_interaction,1
594.065,upper_right_interaction,1
607.078,right_zone,1
610.415,lower_right_interaction,1
617.087,lower_left_interaction,1
623.102,upper_left_interaction,1
625.428,upper_right_interaction,1
630.768,lower_right_interaction,1
631.441,upper_right_interaction,1
633.447,lower_right_interaction,1
634.108,lower_left_interaction,1
642.113,left_zone,1
691.367,upper_left_interaction,1
693.031,upper_right_interaction,1
698.705,lower_right_interaction,1
702.377,lower_left_interaction,1
704.04,left_zone,1
714.05,upper_left_interaction,1
717.393,left_zone,1
727.741,lower_left_interaction,1
731.069,lower_right_interaction,1
750.098,upper_right_interaction,1
756.094,lower_right_interaction,1
757.761,upper_right_interaction,1
759.1,lower_right_interaction,1
766.103,lower_left_interaction,1
767.103,lower_right_interaction,1
775.782,lower_left_interaction,1
782.786,upper_left_interaction,1
785.788,upper_right_interaction,1
786.791,upper_left_interaction,1
787.458,upper_right_interaction,1
793.13,upper_left_interaction,1
795.473,lower_left_interaction,1
797.481,upper_left_interaction,1
806.144,left_zone,1
807.143,lower_left_interaction,1
809.149,lower_right_interaction,1
810.481,right_zone,1
819.156,upper_right_interaction,1
821.5,lower_right_interaction,1
822.827,right_zone,1
823.494,lower_right_interaction,1
826.496,lower_left_interaction,1
831.848,lower_right_interaction,1
837.182,lower_left_interaction,1
841.51,left_zone,1
843.179,lower_left_interaction,1
845.85,lower_right_interaction,1
847.528,lower_left_interaction,1
852.522,lower_right_interaction,1
854.865,lower_left_interaction,1
858.535,lower_right_interaction,1
859.863,upper_right_interaction,1
865.874,upper_left_interaction,1
867.203,left_zone,1
877.884,left_zone,1
881.895,upper_left_interaction,1
886.226,upper_right_interaction,1
887.892,right_zone,1
893.564,lower_right_interaction,1
898.578,lower_left_interaction,1
902.247,upper_left_interaction,1
942.008,END,0
