time,code,class
45.312,left_zone,1
47.877,lower_left_interaction,1
48.884,lower_right_interaction,1
49.413,right_zone,1
51.718,upper_right_interaction,1
52.486,upper_left_interaction,1
54.021,left_zone,1
163.163,lower_left_interaction,1
165.467,upper_left_interaction,1
167.772,upper_right_interaction,1
171.105,upper_left_interaction,1
172.906,upper_right_interaction,1
177.511,upper_left_interaction,1
178.778,lower_left_interaction,1
180.58,upper_left_interaction,1
185.186,lower_left_interaction,1
186.721,lower_right_interaction,1
191.856,lower_left_interaction,1
192.859,upper_left_interaction,1
199.771,lower_left_interaction,1
201.307,upper_left_interaction,1
209.775,left_zone,1
258.88,upper_left_interaction,1
260.416,lower_left_interaction,1
260.915,upper_left_interaction,1
265.221,upper_right_interaction,1
267.523,lower_right_interaction,1
268.291,lower_left_interaction,1
270.093,lower_right_interaction,1
271.894,lower_left_interaction,1
275.992,lower_right_interaction,1
277.528,upper_right_interaction,1
278.534,lower_left_interaction,1
280.836,left_zone,1
284.173,upper_left_interaction,1
285.443,lower_left_interaction,1
289.546,lower_right_interaction,1
290.84,right_zone,1
291.608,upper_right_interaction,1
293.145,right_zone,1
293.382,upper_right_interaction,1
294.681,lower_right_interaction,1
296.217,upper_right_interaction,1
297.752,lower_right_interaction,1
299.022,lower_left_interaction,1
299.789,upper_left_interaction,1
301.059,upper_right_interaction,1
308.761,upper_left_interaction,1
312.068,upper_right_interaction,1
313.603,upper_left_interaction,1
314.637,lower_left_interaction,1
315.139,left_zone,1
316.439,lower_left_interaction,1
318.98,upper_left_interaction,1
319.768,lower_left_interaction,1
324.113,upper_left_interaction,1
330.754,lower_left_interaction,1
348.937,lower_right_interaction,1
355.609,upper_right_interaction,1
356.376,lower_right_interaction,1
356.879,lower_left_interaction,1
360.215,upper_left_interaction,1
363.286,upper_right_interaction,1
364.291,upper_left_interaction,1
365.828,lower_left_interaction,1
366.856,lower_right_interaction,1
368.152,upper_right_interaction,1
369.425,lower_right_interaction,1
369.689,lower_left_interaction,1
370.959,upper_left_interaction,1
373.263,lower_left_interaction,1
380.696,lower_right_interaction,1
382.233,lower_left_interaction,1
439.896,left_zone,1
444.232,lower_left_interaction,1
449.412,lower_right_interaction,1
453.408,right_zone,1
460.761,lower_right_interaction,1
461.751,lower_left_interaction,1
476.44,lower_right_interaction,1
477.443,right_zone,1
482.115,lower_right_interaction,1
485.108,lower_left_interaction,1
491.458,upper_left_interaction,1
494.451,upper_right_interaction,1
498.798,upper_left_interaction,1
502.125,lower_left_interaction,1
592.558,lower_right_interaction,1
595.886,upper_right_interaction,1
597.231,lower_right_interaction,1
597.89,lower_left_interaction,1
605.572,upper_left_interaction,1
606.575,lower_left_interaction,1
611.233,upper_left_interaction,1
617.239,upper_right_interaction,1
627.25,upper_left_interaction,1
631.922,upper_right_interaction,1
634.926,upper_left_interaction,1
642.605,left_zone,1
647.603,lower_left_interaction,1
649.283,upper_left_interaction,1
650.273,upper_right_interaction,1
650.948,upper_left_interaction,1
654.618,lower_left_interaction,1
656.279,lower_right_interaction,1
656.946,lower_left_interaction,1
658.947,lower_right_interaction,1
665.286,lower_left_interaction,1
669.635,lower_right_interaction,1
670.627,right_zone,1
686.979,lower_right_interaction,1
687.642,lower_left_interaction,1
690.313,left_zone,1
698.328,upper_left_interaction,1
699.331,upper_right_interaction,1
700.657,upper_left_interaction,1
701.997,lower_left_interaction,1
705.006,lower_right_interaction,1
705.995,right_zone,1
713.67,upper_right_interaction,1
715.673,lower_right_interaction,1
719.683,lower_left_interaction,1
721.01,upper_left_interaction,1
722.011,upper_right_interaction,1
723.678,upper_left_interaction,1
725.016,upper_right_interaction,1
726.36,upper_left_interaction,1
729.027,lower_left_interaction,1
951.336,END,0
