litter,treatment,pnd,number_pups,pup_self_grooming,pup_rearing_barrier,pup_barrier_nose_poke,pup_barrier_traverse,pup_aggression,pup_eating,pup_drinking,pup_digging,parent_self_grooming,parent_grooming_pup,parent_rearing_barrier,parent_barrier_nose_poke,parent_barrier_traverse,parent_nursing,parent_aggression_partner,parent_aggression_pup,parent_eating,parent_drinking,parent_digging,general_activity_score,percent_huddling_parents,percent_huddling_pups,percent_huddling_both
bookerbella,simple,8,3,4,6,1,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,low,0,0,100
bookerbella,simple,6,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,very low,0,0,100
bookerbella,simple,10,3,7,0,0,1,0,1,0,1,3,3,0,0,3,0,1,0,2,0,1,medium,0,0,85
bjornbeatrice,complex,8,2,0,0,0,0,0,0,0,0,7,7,2,0,2,0,0,0,2,0,0,medium,0,0,75
bjornbeatrice,complex,6,2,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,1,0,0,,,,
bjornbeatrice,complex,4,2,2,0,0,0,0,0,0,0,6,3,7,0,2,0,0,0,0,0,0,high,0,10,90
bjornbeatrice,complex,10,2,2,2,0,10,0,3,1,2,2,1,0,0,2,0,0,0,0,0,0,high,15,5,50
apolloartemis,simple,10,2,1,0,0,0,0,0,0,0,9,7,0,0,0,1,1,0,0,0,0,low,0,0,85
andreamber,simple,10,2,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,very low,90,0,10
alfredanna,complex,8,2,0,4,0,3,0,1,1,1,9,2,9,0,2,0,0,1,0,0,0,high,0,0,10
alfredanna,complex,10,2,2,1,0,11,0,1,1,0,8,3,9,8,18,1,0,0,2,0,1,high,0,0,0
brunobonnie,complex,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,low,0,0,100
brunobonnie,complex,6,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,low,0,0,100
brunobonnie,complex,8,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,low,0,0,100
brunobonnie,complex,10,2,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,low,0,0,100
claytoncharlotte,complex,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,very low,0,0,100
claytoncharlotte,complex,6,2,2,0,0,0,0,1,0,0,6,1,2,0,0,0,0,0,1,1,0,medium,0,0,90
claytoncharlotte,complex,8,2,1,0,0,0,0,1,0,0,6,1,1,0,0,0,0,0,1,0,0,low,0,0,100
claytoncharlotte,complex,10,2,1,3,1,4,0,1,1,1,4,3,0,0,1,0,0,0,2,0,0,medium,0,0,80
coltchloe,simple,4,3,0,0,0,0,0,0,0,0,6,1,1,0,6,0,0,0,4,0,0,medium,0,0,100
coltchloe,simple,6,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,low,0,0,100
coltchloe,simple,8,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,0,0,low,0,0,100
coltchloe,simple,10,3,3,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,1,0,0,medium,5,5,90
clarkcecelia,simple,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,low,0,0,100
clarkcecelia,simple,6,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,very low,0,0,100
clarkcecelia,simple,8,3,5,4,0,0,0,12,1,0,11,7,0,0,3,1,0,0,3,0,0,high,0,0,30
dilbertdawn,simple,4,3,0,0,0,0,0,0,0,0,5,1,2,0,3,0,0,0,1,1,1,medium,20,0,50
dilbertdawn,simple,6,3,0,2,0,0,0,1,0,0,3,2,2,0,0,0,0,0,0,1,0,medium,0,0,70
dilbertdawn,simple,8,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,1,0,low,0,30,70
dilbertdawn,simple,10,3,3,1,0,1,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,low,0,10,90
deckerdenise,simple,4,2,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,3,1,2,high,0,35,50
deckerdenise,simple,8,2,4,0,0,0,0,2,0,0,3,1,0,0,1,0,0,0,4,1,3,high,30,0,60
